"time","motormodellAufgabe3_me_FMU.M","motormodellAufgabe3_me_FMU.alpha","motormodellAufgabe3_me_FMU.N"
0,0,40,800
0.01,0,40,800
0.02,0.6367206041739055,40,800
0.03,1.5453419733039206,40,800
0.04,1.684094729731146,40,800
0.05,2.8658675607186304,40,800
0.06,4.448258995103587,40,800
0.07,5.122144476629284,40,800
0.08,5.967013393444802,40,800
0.09,7.754735230517246,40,800
0.1,10.236720589594686,40,800
0.11,11.55133051062242,40,800
0.12,14.144782572671007,40,800
0.13,16.760223694530143,40,800
0.14,19.38762879264687,40,800
0.15,20.74228637506911,40,800
0.16,24.28763620761863,40,800
0.17,24.937441413269138,40,800
0.18,28.4947692619626,40,800
0.19,30.466989894756015,40,800
0.2,33.81817814669028,40,800
0.21,36.77784445360508,40,800
0.22,39.262560233331136,40,800
0.23,41.59434002728127,40,800
0.24,46.00578393766487,40,800
0.25,47.89722545378219,40,800
0.26,49.79178899310366,40,800
0.27,53.05021540502725,40,800
0.28,55.30925217503282,40,800
0.29,57.81475817588876,40,800
0.3,61.026648599271766,40,800
0.31,64.25838668152105,40,800
0.32,65.26133642105638,40,800
0.33,68.12179241364214,40,800
0.34,70.4847984479374,40,800
0.35,73.55891656180827,40,800
0.36,75.90973753163084,40,800
0.37,77.52236915500741,40,800
0.38,79.85668290705384,40,800
0.39,81.50699524678451,40,800
0.4,84.5661676134258,40,800
0.41,86.88893406202165,40,800
0.42,87.8745949691427,40,800
0.43,90.36294264433401,40,800
0.44,91.4848508928108,40,800
0.45,94.18575459229245,40,800
0.46,95.53938576286168,40,800
0.47,97.57913875963463,40,800
0.48,97.78018300096419,40,800
0.49,99.2974964473543,40,800
0.5,100.84109158673623,40,800
0.51,102.38325568220264,40,800
0.52,103.3567856244985,40,800
0.53,104.46229791004968,40,800
0.54,106.37865487213871,40,800
0.55,107.67363311099624,40,800
0.56,108.66599285310764,40,800
0.57,109.47331882406644,40,800
0.58,110.4800259879068,40,800
0.59,111.5519197459097,40,800
0.6,111.9917988577585,40,800
0.61,111.84803768851918,40,800
0.62,113.79663742367569,40,800
0.63,113.09212253137343,40,800
0.64,114.15407261273349,40,800
0.65,114.64500913879631,40,800
0.66,114.61769988023347,40,800
0.67,115.97367813153797,40,800
0.68,116.23642616140039,40,800
0.69,115.84005260329721,40,800
0.7,115.70341353924708,40,800
0.71,116.52264854080701,40,800
0.72,116.5255134457572,40,800
0.73,116.632372495523,40,800
0.74,115.84777391149593,40,800
0.75,116.99683464315835,40,800
0.76,116.69941898268148,40,800
0.77,117.75827341941593,40,800
0.78,117.14552895285976,40,800
0.79,116.43944546355597,40,800
0.8,116.50140641060871,40,800
0.81,117.55684980868813,40,800
0.82,116.78446274114803,40,800
0.83,116.85838920868198,40,800
0.84,116.45652547009672,40,800
0.85,117.01095575597064,40,800
0.86,115.39508348555417,40,800
0.87,115.71631824790103,40,800
0.88,116.06449273155715,40,800
0.89,114.78781064700313,40,800
0.9,115.06757949139995,40,800
0.91,115.37278196185218,40,800
0.92,115.10016183844857,40,800
0.93,114.35177960169442,40,800
0.94,114.26275429706676,40,800
0.95,114.03819748271764,40,800
0.96,113.86170586733995,40,800
0.97,113.9731000431935,40,800
0.98,112.86326881625278,40,800
0.99,112.20923701845408,40,800
1,112.74136424855114,40,800
1.01,111.61358606862913,40,800
1.02,111.78143636690763,40,800
1.03,111.258811685168,40,800
1.04,111.25361252349607,40,800
1.05,111.5669845083643,40,800
1.06,111.0140627398731,40,800
1.07,110.53295095967894,40,800
1.08,110.60448899030469,40,800
1.09,110.43331830403034,40,800
1.1,109.33435119458662,40,800
1.11,108.97740934617867,40,800
1.12,109.17803426533463,40,800
1.13,108.35235162191981,40,800
1.14,109.10084837944969,40,800
1.15,107.89984318963945,40,800
1.16,107.78414741062456,40,800
1.17,108.44694568875548,40,800
1.18,107.60665284246178,40,800
1.19,107.15897315321732,40,800
1.2,107.58572543820257,40,800
1.21,107.93636462105923,40,800
1.22,107.61800064438731,40,800
1.23,107.5092778419804,40,800
1.24,106.79927006295168,40,800
1.25,106.57428345382888,40,800
1.26,107.02560743286604,40,800
1.27,106.80097940504875,40,800
1.28,105.98937145266567,40,800
1.29,105.65210785792374,40,800
1.3,106.33772275432996,40,800
1.31,105.28055486745436,40,800
1.32,105.26748918429543,40,800
1.33,106.36304982634604,40,800
1.34,105.5988524582706,40,800
1.35,106.52906887734663,40,800
1.36,104.93808398009344,40,800
1.37,104.750495108039,40,800
1.38,105.18181551216524,40,800
1.39,104.98043743016055,40,800
1.4,105.28667726149828,40,800
1.41,105.12577314759288,40,800
1.42,105.07079104309993,40,800
1.43,104.76784337529111,40,800
1.44,105.41803285246351,40,800
1.45,104.8064604046265,40,800
1.46,104.13125203669864,40,800
1.47,105.28798653901686,40,800
1.48,104.7743231705033,40,800
1.49,104.69148972378886,40,800
1.5,104.81305795782485,40,800
1.51,105.04997475394511,40,800
1.52,104.14554717079534,40,800
1.53,106.11688267453128,40,800
1.54,103.92417323484463,40,800
1.55,105.08855078019604,40,800
1.56,105.2518787293714,40,800
1.57,104.62491383669615,40,800
1.58,105.16382773675973,40,800
1.59,104.25128324830405,40,800
1.6,105.08589518152442,40,800
1.61,105.59749919084112,40,800
1.62,104.17157816124771,40,800
1.63,104.39265548173138,40,800
1.64,104.92135887606693,40,800
1.65,104.71071711269468,40,800
1.66,105.24301472478132,40,800
1.67,104.92936416175164,40,800
1.68,105.68385186832654,40,800
1.69,105.52894239690195,40,800
1.7,104.51840832143778,40,800
1.71,105.73714497689465,40,800
1.72,105.10734574230676,40,800
1.73,104.1464489918908,40,800
1.74,104.67210143804138,40,800
1.75,104.64644298698512,40,800
1.76,105.59614923222254,40,800
1.77,105.5689028394688,40,800
1.78,105.32913703673421,40,800
1.79,106.55511089962667,40,800
1.8,105.813042692662,40,800
1.81,104.95749884390415,40,800
1.82,105.27341151567325,40,800
1.83,105.91045534672374,40,800
1.84,104.87451574033635,40,800
1.85,105.68195930894737,40,800
1.86,106.05897020970035,40,800
1.87,104.97705115591995,40,800
1.88,106.11791447503565,40,800
1.89,105.37714585282542,40,800
1.9,105.69076818468213,40,800
1.91,106.06518184866648,40,800
1.92,104.29775808924144,40,800
1.93,104.94641796916203,40,800
1.94,105.36941766477447,40,800
1.95,105.75029452422284,40,800
1.96,106.56715881244274,40,800
1.97,105.39912780859918,40,800
1.98,105.7549290241975,40,800
1.99,105.63063761791612,40,800
2,105.80782644067352,40,800
2.01,105.52375259514609,40,800
2.02,106.19366371136383,40,800
2.03,106.44373277461054,40,800
2.04,105.7729855212001,40,800
2.05,106.33611264488995,40,800
2.06,105.34661017092442,40,800
2.07,105.76456070230432,40,800
2.08,106.01426511754305,40,800
2.09,105.70802733934698,40,800
2.1,106.00547889761768,40,800
2.11,105.67112707588774,40,800
2.12,106.16529647310956,40,800
2.13,105.7529602530365,40,800
2.14,105.83378226866098,40,800
2.15,105.65341020450367,40,800
2.16,106.81158813366964,40,800
2.17,106.61110246832195,40,800
2.18,105.85565845505472,40,800
2.19,105.94421761671376,40,800
2.2,105.91907403438807,40,800
2.21,106.50324936321016,40,800
2.22,105.44538506501738,40,800
2.23,105.96651549295112,40,800
2.24,106.2767440581981,40,800
2.25,106.11819958337247,40,800
2.26,105.88865745801877,40,800
2.27,106.2340648058001,40,800
2.28,105.66335035671248,40,800
2.29,106.94940955709764,40,800
2.3,106.51599978548492,40,800
2.31,106.14987785223225,40,800
2.32,106.48725718703416,40,800
2.33,106.48906196332725,40,800
2.34,106.79147694025175,40,800
2.35,105.83115526618184,40,800
2.36,105.11096854525152,40,800
2.37,106.27715689105537,40,800
2.38,106.24188481654993,40,800
2.39,105.69611272444007,40,800
2.4,106.31867294342932,40,800
2.41,106.22468766596116,40,800
2.42,106.00170252063315,40,800
2.43,106.53606362651263,40,800
2.44,105.51807402932066,40,800
2.45,106.44040022006894,40,800
2.46,106.00283511943994,40,800
2.47,105.90460808051827,40,800
2.48,105.83710324612493,40,800
2.49,106.41952863716605,40,800
2.5,106.14194329327759,40,800
2.51,105.75409553512755,40,800
2.52,106.14270791345794,40,800
2.53,106.53176805843269,40,800
2.54,106.49535884122625,40,800
2.55,106.24699619551235,40,800
2.56,105.98170193344608,40,800
2.57,106.29485368102897,40,800
2.58,106.69706306893009,40,800
2.59,106.5838596599058,40,800
2.6,106.26313603288165,40,800
2.61,106.80716261024887,40,800
2.62,105.25777128021853,40,800
2.63,106.53201969783814,40,800
2.64,106.1214409028623,40,800
2.65,105.81180138606834,40,800
2.66,105.74383390698523,40,800
2.67,105.82269324133293,40,800
2.68,106.57140794616484,40,800
2.69,106.79577277052368,40,800
2.7,105.87752374824439,40,800
2.71,105.99242448199658,40,800
2.72,106.71485611134013,40,800
2.73,105.70192439465981,40,800
2.74,106.20369975908186,40,800
2.75,105.62435702360429,40,800
2.76,106.48896335481513,40,800
2.77,106.18715863712357,40,800
2.78,105.4540789810419,40,800
2.79,105.34504871735007,40,800
2.8,106.15742218121616,40,800
2.81,105.79747296720507,40,800
2.82,106.68245770123148,40,800
2.83,105.60117379378096,40,800
2.84,106.06839181087925,40,800
2.85,105.27669441303131,40,800
2.86,105.66307877942374,40,800
2.87,105.67629356468224,40,800
2.88,105.74678473340326,40,800
2.89,106.43230925439576,40,800
2.9,106.27043079763311,40,800
2.91,105.81394229633689,40,800
2.92,106.17179906854366,40,800
2.93,105.25238267538049,40,800
2.94,106.16556759986017,40,800
2.95,105.75701199179046,40,800
2.96,106.77128986998905,40,800
2.97,106.14767187732873,40,800
2.98,105.9737202661509,40,800
2.99,106.51084130260338,40,800
3,105.9263078238136,40,800
3.01,106.26172689615882,40,800
3.02,105.7117967151872,40,800
3.03,106.43509730888255,40,800
3.04,105.26881184819275,40,800
3.05,106.03318189213958,40,800
3.06,105.5576908796368,40,800
3.07,106.56685074238608,40,800
3.08,106.43733657296234,40,800
3.09,105.9147970267221,40,800
3.1,105.6117496662006,40,800
3.11,105.50981312110954,40,800
3.12,106.17942261935391,40,800
3.13,105.93586261508058,40,800
3.14,106.70662724879347,40,800
3.15,105.8219674317374,40,800
3.16,106.12162271322157,40,800
3.17,105.71484736280962,40,800
3.18,105.70506311601194,40,800
3.19,106.13893941954665,40,800
3.2,105.3855901111531,40,800
3.21,105.34950065771676,40,800
3.22,105.24099771589809,40,800
3.23,105.83734713488718,40,800
3.24,106.28395843295006,40,800
3.25,105.73868205904144,40,800
3.26,105.71175289902247,40,800
3.27,105.77346117774059,40,800
3.28,106.16929761189495,40,800
3.29,105.19602862627205,40,800
3.3,105.60488862659608,40,800
3.31,105.68603714412447,40,800
3.32,105.5763654058835,40,800
3.33,106.03158436468698,40,800
3.34,106.29748137582186,40,800
3.35,105.29098847896363,40,800
3.36,106.84478680332649,40,800
3.37,105.97854464177395,40,800
3.38,106.82173049847725,40,800
3.39,106.12746113459652,40,800
3.4,106.12563513317158,40,800
3.41,107.63035900286364,40,800
3.42,105.55920015963925,40,800
3.43,105.1510941904372,40,800
3.44,106.14782712174933,40,800
3.45,106.21545227166722,40,800
3.46,106.40742159461101,40,800
3.47,106.14481585811542,40,800
3.48,105.78242926184386,40,800
3.49,105.465415764525,40,800
3.5,106.05768303384609,40,800
3.51,105.92308595610712,40,800
3.52,105.90921878667213,40,800
3.53,105.79810834917906,40,800
3.54,105.80519742958955,40,800
3.55,105.97159755595376,40,800
3.56,105.7114290987292,40,800
3.57,106.14744037002676,40,800
3.58,106.48218844836394,40,800
3.59,106.48651238242006,40,800
3.6,106.02080089600416,40,800
3.61,105.89524052841561,40,800
3.62,106.65820663490881,40,800
3.63,106.72180783831928,40,800
3.64,105.96998721627426,40,800
3.65,106.77453305281006,40,800
3.66,106.23511151741626,40,800
3.67,106.22443253418518,40,800
3.68,105.79354410903302,40,800
3.69,105.77499122842481,40,800
3.7,106.4897595833034,40,800
3.71,105.90310584202058,40,800
3.72,105.59212034709162,40,800
3.73,106.37995442408405,40,800
3.74,105.92050028912284,40,800
3.75,106.13632452932448,40,800
3.76,105.75391536575086,40,800
3.77,105.75361666170082,40,800
