"time","motormodellAufgabe3_me_FMU.M","motormodellAufgabe3_me_FMU.alpha","motormodellAufgabe3_me_FMU.N"
0,0,60,1500
0.01,0,60,1500
0.02,0.6954706052444083,60,1500
0.03,1.7180669752723519,60,1500
0.04,2.022559357430552,60,1500
0.05,3.418445623988166,60,1500
0.06,5.2600075261264445,60,1500
0.07,6.234881802067806,60,1500
0.08,7.419400814191617,60,1500
0.09,9.58236189742512,60,1500
0.1,12.472191179226979,60,1500
0.11,14.224355320833606,60,1500
0.12,17.282269673638073,60,1500
0.13,20.386372786668844,60,1500
0.14,23.524026438622204,60,1500
0.15,25.40800228880954,60,1500
0.16,29.49932029883382,60,1500
0.17,30.70942130141844,60,1500
0.18,34.839147988895974,60,1500
0.19,37.39374358032211,60,1500
0.2,41.33525334645201,60,1500
0.21,44.89125499239731,60,1500
0.22,47.97648330271556,60,1500
0.23,50.91121134898079,60,1500
0.24,55.92639180877515,60,1500
0.25,58.42080350294505,60,1500
0.26,60.916107489871635,60,1500
0.27,64.77167097733741,60,1500
0.28,67.62295580202984,60,1500
0.29,70.71462133528269,60,1500
0.3,74.50546745997624,60,1500
0.31,78.30792424348687,60,1500
0.32,79.87240251498696,60,1500
0.33,83.28432148364847,60,1500
0.34,86.18792505015689,60,1500
0.35,89.79104852157283,60,1500
0.36,92.65862671092485,60,1500
0.37,94.7751797907052,60,1500
0.38,97.60005748877131,60,1500
0.39,99.72711791112249,60,1500
0.4,103.24882503892677,60,1500
0.41,106.01957385631174,60,1500
0.42,107.43838154649032,60,1500
0.43,110.34481059823204,60,1500
0.44,111.86955587418755,60,1500
0.45,114.95792170958168,60,1500
0.46,116.68355552542486,60,1500
0.47,119.07981059093416,60,1500
0.48,119.62185635244387,60,1500
0.49,121.46470954820175,60,1500
0.5,123.31845786858949,60,1500
0.51,125.15549792143021,60,1500
0.52,126.4087678479363,60,1500
0.53,127.77905511303196,60,1500
0.54,129.94542060032106,60,1500
0.55,131.47586495984783,60,1500
0.56,132.68939594105834,60,1500
0.57,133.7038672971402,60,1500
0.58,134.90398261527,60,1500
0.59,136.15585366711747,60,1500
0.6,136.7626015436083,60,1500
0.61,136.77293717832745,60,1500
0.62,138.86321090248958,60,1500
0.63,138.28830731112853,60,1500
0.64,139.46817558167785,60,1500
0.65,140.0657147436319,60,1500
0.66,140.13407670538817,60,1500
0.67,141.57518413978516,60,1500
0.68,141.91291265969713,60,1500
0.69,141.5817669972262,60,1500
0.7,141.5010009388317,60,1500
0.71,142.3671522797309,60,1500
0.72,142.4083745751694,60,1500
0.73,142.54542831265587,60,1500
0.74,141.78325558227218,60,1500
0.75,142.94736397682644,60,1500
0.76,142.6580044153013,60,1500
0.77,143.7183052617269,60,1500
0.78,143.1007739567099,60,1500
0.79,142.38404075965838,60,1500
0.8,142.42985286893017,60,1500
0.81,143.46400487126695,60,1500
0.82,142.66553277559476,60,1500
0.83,142.7089214290401,60,1500
0.84,142.27239947013743,60,1500
0.85,142.78837469837416,60,1500
0.86,141.13056498879064,60,1500
0.87,141.4066850109765,60,1500
0.88,141.70686293513512,60,1500
0.89,140.37958816775765,60,1500
0.9,140.60644396480328,60,1500
0.91,140.85667872695515,60,1500
0.92,140.5272917965772,60,1500
0.93,139.72058901936572,60,1500
0.94,139.57192458182405,60,1500
0.95,139.2866349590024,60,1500
0.96,139.0485315779594,60,1500
0.97,139.09763960040735,60,1500
0.98,137.925042324999,60,1500
0.99,137.20794909275762,60,1500
1,137.67689414071637,60,1500
1.01,136.4859779294081,60,1500
1.02,136.59088965346214,60,1500
1.03,136.00567173230843,60,1500
1.04,135.93836129237945,60,1500
1.05,136.19023152557637,60,1500
1.06,135.57653623859989,60,1500
1.07,135.0354892334941,60,1500
1.08,135.0480319689635,60,1500
1.09,134.81889935956454,60,1500
1.1,133.66308918494377,60,1500
1.11,133.25050090263696,60,1500
1.12,133.39674632895813,60,1500
1.13,132.51801423339322,60,1500
1.14,133.21484772574846,60,1500
1.15,131.96361491015048,60,1500
1.16,131.7991701645343,60,1500
1.17,132.41473498476333,60,1500
1.18,131.5287551311614,60,1500
1.19,131.03696018181114,60,1500
1.2,131.42118886657897,60,1500
1.21,131.7309108976633,60,1500
1.22,131.3732461397577,60,1500
