"time","motormodellAufgabe3_me_FMU.M","motormodellAufgabe3_me_FMU.alpha","motormodellAufgabe3_me_FMU.N"
3.66,127.73526942525571,40,1500
3.67,127.72460586852483,40,1500
3.68,127.29373154951328,40,1500
3.69,127.27519149534139,40,1500
3.7,127.98997143846893,40,1500
3.71,127.40332808947281,40,1500
3.72,127.09235183365544,40,1500
3.73,127.88019403979415,40,1500
3.74,127.420746967514,40,1500
3.75,127.63657724759658,40,1500
3.76,127.25417314481504,40,1500
3.77,127.25387856611391,40,1500
3.78,127.01623005287519,40,1500
3.79,127.37626023979371,40,1500
3.8,128.01936268648004,40,1500
3.81,127.20096718461579,40,1500
3.82,127.99221494080943,40,1500
3.83,127.58301593259351,40,1500
3.84,127.3180972987507,40,1500
3.85,127.39582534038327,40,1500
3.86,128.3803141372541,40,1500
3.87,127.5107436483874,40,1500
3.88,127.65538971955175,40,1500
3.89,128.1568956784597,40,1500
3.9,126.52896836975158,40,1500
3.91,127.84007667601607,40,1500
3.92,127.33539175875177,40,1500
3.93,126.32856848712672,40,1500
3.94,126.99722068386401,40,1500
3.95,128.45892499541998,40,1500
3.96,127.54308188937597,40,1500
3.97,127.39255081897774,40,1500
3.98,127.93335867018192,40,1500
3.99,128.31451112269139,40,1500
4,126.72657547508426,40,1500
4.01,127.64946827139201,40,1500
4.02,127.18554496519693,40,1500
4.03,128.06075411866448,40,1500
4.04,127.5286305361893,40,1500
4.05,128.39209598672244,40,1500
4.06,127.48123991764145,40,1500
4.07,126.33480914042526,40,1500
4.08,126.47721604353701,40,1500
4.09,126.91322747428103,40,1500
4.1,127.31742607688099,40,1500
4.11,127.74778606178498,40,1500
4.12,127.89800326911043,40,1500
4.13,127.69330323531001,40,1500
4.14,127.15537416613853,40,1500
4.15,126.42182004054801,40,1500
4.16,127.13757795204381,40,1500
4.17,127.31915598994408,40,1500
4.18,127.87592961053011,40,1500
4.19,128.41404863048496,40,1500
4.2,127.73056061534734,40,1500
4.21,128.35026806298578,40,1500
4.22,126.52538623910058,40,1500
4.23,128.01754668194698,40,1500
4.24,127.53997616588642,40,1500
4.25,128.46028010331656,40,1500
4.26,127.51786714503079,40,1500
4.27,127.56862868758905,40,1500
4.28,126.85601659082023,40,1500
4.29,127.40660105264608,40,1500
4.3,128.49893809579729,40,1500
4.31,126.95076572822452,40,1500
4.32,128.10253845322814,40,1500
4.33,128.2724642079788,40,1500
4.34,127.19800783731739,40,1500
4.35,127.66465957409841,40,1500
4.36,126.41184057563918,40,1500
4.37,127.33856817102082,40,1500
4.38,127.59374672116212,40,1500
4.39,127.33624403259996,40,1500
4.4,126.91692656636108,40,1500
4.41,128.4123838538274,40,1500
4.42,128.64259276332322,40,1500
4.43,127.54818463230633,40,1500
4.44,126.55904254240784,40,1500
4.45,127.33787013684027,40,1500
4.46,127.12852174373704,40,1500
4.47,127.00880801453056,40,1500
4.48,127.05364462343914,40,1500
4.49,126.34750704565182,40,1500
4.5,127.04272248014817,40,1500
4.51,127.38811165162686,40,1500
4.52,127.2642066957172,40,1500
4.53,127.62013270381969,40,1500
4.54,127.34574172607077,40,1500
4.55,128.12475147899778,40,1500
4.56,127.89618265421578,40,1500
4.57,127.64910207961273,40,1500
4.58,127.05726282041972,40,1500
4.59,128.41564149191197,40,1500
4.6,127.07115984691539,40,1500
4.61,127.16831327508997,40,1500
4.62,127.08108915913392,40,1500
4.63,126.9827987938978,40,1500
4.64,127.48883594443924,40,1500
4.65,127.45589743722348,40,1500
4.66,127.6906892157565,40,1500
4.67,127.88594213554678,40,1500
4.68,127.45361862584903,40,1500
4.69,127.01874526206166,40,1500
4.7,127.7929656973754,40,1500
4.71,126.61516321844168,40,1500
4.72,127.94790716003894,40,1500
4.73,127.38765837728158,40,1500
4.74,127.62453594533935,40,1500
4.75,127.68900349688718,40,1500
4.76,127.8196362797903,40,1500
4.77,127.31225734912906,40,1500
4.78,126.3626603971134,40,1500
4.79,127.21545501320514,40,1500
4.8,126.52313987805648,40,1500
4.81,127.50474511498597,40,1500
4.82,127.77187040776872,40,1500
4.83,127.01671902412241,40,1500
4.84,127.71167753736601,40,1500
4.85,127.46402175011853,40,1500
4.86,128.63064790650463,40,1500
4.87,128.35279097760053,40,1500
4.88,127.20179684004654,40,1500
4.89,126.58745198335919,40,1500
4.9,127.90227254520353,40,1500
4.91,127.18187753191053,40,1500
4.92,128.16398678603707,40,1500
4.93,126.9896643796442,40,1500
4.94,128.6039085856667,40,1500
4.95,126.54683161612414,40,1500
4.96,128.18737343353266,40,1500
4.97,127.59795798295124,40,1500
4.98,128.24505330501108,40,1500
4.99,127.31509312810662,40,1500
5,128.4374263630686,40,1500
5.01,127.53240149041555,40,1500
5.02,127.81049325941315,40,1500
5.03,128.34818542866267,40,1500
5.04,126.42645852666332,40,1500
5.05,127.55076932983772,40,1500
5.06,127.06077317720305,40,1500
5.07,127.61714366627312,40,1500
5.08,128.48565999710917,40,1500
5.09,127.68647071581388,40,1500
5.1,128.3832672714997,40,1500
5.11,127.48079144544498,40,1500
5.12,127.65941527822666,40,1500
5.13,127.30080826502287,40,1500
5.14,127.44929625273384,40,1500
5.15,127.90453496175708,40,1500
5.16,128.07309517136838,40,1500
5.17,128.49132701673304,40,1500
5.18,126.4912084709272,40,1500
5.19,128.0549295982569,40,1500
5.2,126.80196958088514,40,1500
5.21,127.76042129451193,40,1500
5.22,127.71333074383966,40,1500
5.23,126.9766993730326,40,1500
5.24,128.31233750616977,40,1500
5.25,127.09787420034628,40,1500
5.26,127.79107978170161,40,1500
5.27,127.5768589235766,40,1500
5.28,127.40222375073043,40,1500
5.29,127.07199707601902,40,1500
5.3,127.08458648080502,40,1500
5.31,128.0548655483372,40,1500
5.32,126.59234303195626,40,1500
5.33,128.3359654697658,40,1500
5.34,127.55517452299095,40,1500
5.35,127.52280692505157,40,1500
5.36,127.56425939102128,40,1500
5.37,127.77202733371169,40,1500
5.38,127.33951961733062,40,1500
5.39,127.37362042664387,40,1500
5.4,127.41292839735308,40,1500
5.41,127.73181067037504,40,1500
5.42,127.11334921083271,40,1500
5.43,125.94536084337699,40,1500
5.44,128.18660047807583,40,1500
5.45,126.86280840402924,40,1500
5.46,127.32264473902309,40,1500
5.47,128.33986965604007,40,1500
5.48,127.99334006185103,40,1500
5.49,127.55113799601203,40,1500
5.5,127.65893165486402,40,1500
5.51,127.23652983143059,40,1500
5.52,127.25322991732043,40,1500
5.53,128.41916757847082,40,1500
5.54,127.72107667118186,40,1500
5.55,126.91902691825076,40,1500
5.56,126.77189595587541,40,1500
5.57,126.62336661046146,40,1500
5.58,127.22794743257698,40,1500
5.59,127.87839525735798,40,1500
5.6,127.4207322805836,40,1500
5.61,128.96284158841058,40,1500
5.62,128.17078770064182,40,1500
5.63,127.47532893933341,40,1500
5.64,127.8618416400765,40,1500
5.65,128.83343319747024,40,1500
5.66,127.87037352612953,40,1500
5.67,127.54128062947917,40,1500
5.68,127.24929886992972,40,1500
5.69,127.77052594321786,40,1500
5.7,127.8263598131433,40,1500
5.71,126.70145951577508,40,1500
5.72,126.62512966347089,40,1500
5.73,127.88022045581454,40,1500
5.74,126.50124870529037,40,1500
5.75,127.47879699110698,40,1500
5.76,128.2371850086238,40,1500
5.77,127.35665868526455,40,1500
5.78,126.53792150441417,40,1500
5.79,126.84803675699943,40,1500
5.8,127.01957523836334,40,1500
5.81,127.35468628239765,40,1500
5.82,127.13939810393168,40,1500
5.83,127.62162336487813,40,1500
5.84,128.40554390082252,40,1500
5.85,128.0997672862925,40,1500
5.86,127.61659643837983,40,1500
5.87,127.8725906721203,40,1500
5.88,127.40583775962975,40,1500
5.89,127.63891646796593,40,1500
5.9,127.245954568816,40,1500
5.91,127.42998126109276,40,1500
5.92,126.97310541999647,40,1500
5.93,126.82266820513037,40,1500
5.94,127.2777004755272,40,1500
5.95,126.59130852369465,40,1500
5.96,127.54883082003641,40,1500
5.97,127.32875571006451,40,1500
5.98,128.59974715319646,40,1500
5.99,127.48489489414905,40,1500
6,127.49309833699563,40,1500
6.01,128.39342942399043,40,1500
6.02,126.99634478227314,40,1500
6.03,127.12209919797145,40,1500
6.04,126.87686077181567,40,1500
6.05,127.36782800841225,40,1500
6.06,127.96273320291162,40,1500
6.07,127.3231154846964,40,1500
6.08,128.1476533621402,40,1500
6.09,127.8761682203712,40,1500
6.1,127.53012348347968,40,1500
6.11,127.78294774386393,40,1500
6.12,128.2684552313841,40,1500
6.13,126.80188673437358,40,1500
6.14,127.58480837287125,40,1500
6.15,127.27567795045697,40,1500
6.16,126.85768894328362,40,1500
6.17,128.50596968331152,40,1500
6.18,128.67698642480886,40,1500
6.19,127.24996758607664,40,1500
6.2,127.89789052935664,40,1500
6.21,126.98566538610545,40,1500
6.22,127.1689080351215,40,1500
6.23,126.69900961522296,40,1500
6.24,127.00668926802865,40,1500
6.25,127.04613236911,40,1500
6.26,127.35298522909659,40,1500
6.27,128.1242497366776,40,1500
6.28,128.69473567247164,40,1500
6.29,127.54325442048254,40,1500
6.3,128.06453441142816,40,1500
6.31,126.54485324546188,40,1500
6.32,126.54167735328369,40,1500
6.33,127.29020208301118,40,1500
6.34,127.21722405287753,40,1500
6.35,127.60347502336681,40,1500
6.36,127.53092219831608,40,1500
6.37,128.01217923764466,40,1500
