"time","motormodellAufgabe3_me_FMU.M","motormodellAufgabe3_me_FMU.alpha","motormodellAufgabe3_me_FMU.N"
0,0,60,5000
0.01,0,60,5000
0.02,0.8342206077726173,60,5000
0.03,2.1259919799212006,60,5000
0.04,2.8219119888057453,60,5000
0.05,4.723470411709838,60,5000
0.06,7.177115758967663,60,5000
0.07,8.862835911082195,60,5000
0.08,10.849507275955387,60,5000
0.09,13.898671685228836,60,5000
0.1,17.751706827081986,60,5000
0.11,20.537243702396214,60,5000
0.12,24.692079635496484,60,5000
0.13,28.950256812783675,60,5000
0.14,33.29296555996824,60,5000
0.15,36.42703348934549,60,5000
0.16,41.80776570574632,60,5000
0.17,44.34111848406894,60,5000
0.18,49.82268072697268,60,5000
0.19,53.752672497297354,60,5000
0.2,59.088345839506324,60,5000
0.21,64.05271392443854,60,5000
0.22,68.55617395594257,60,5000
0.23,72.91488617256898,60,5000
0.24,79.35591252565257,60,5000
0.25,83.27436017224451,60,5000
0.26,87.18843415245126,60,5000
0.27,92.45425754172942,60,5000
0.28,96.70425585727807,60,5000
0.29,101.18025560534062,60,5000
0.3,106.33842264163997,60,5000
0.31,111.48874699621459,60,5000
0.32,114.37938839639739,60,5000
0.33,119.0936986489825,60,5000
0.34,123.27403255752623,60,5000
0.35,128.12650910739964,60,5000
0.36,132.21451392159773,60,5000
0.37,135.52117937714021,60,5000
0.38,139.5046229902742,60,5000
0.39,142.75762037370785,60,5000
0.4,147.3716968310673,60,5000
0.41,151.20044656197555,60,5000
0.42,153.6422179312899,60,5000
0.43,157.53603065956565,60,5000
0.44,160.01215700041772,60,5000
0.45,164.01559298658384,60,5000
0.46,166.61978624126547,60,5000
0.47,169.85799300102448,60,5000
0.48,171.20538277827882,60,5000
0.49,173.8170638927563,60,5000
0.5,176.40330164062593,60,5000
0.51,178.93675086939322,60,5000
0.52,180.85068331180003,60,5000
0.53,182.84629020943694,60,5000
0.54,185.6031013626241,60,5000
0.55,187.68964656032725,60,5000
0.56,189.42551812749508,60,5000
0.57,190.92920518035694,60,5000
0.58,192.5860929479788,60,5000
0.59,194.26301675762934,60,5000
0.6,195.26385895061526,60,5000
0.61,195.63812533510873,60,5000
0.62,198.06299082053934,60,5000
0.63,197.79419051437984,60,5000
0.64,199.25254642322727,60,5000
0.65,200.1018492571798,60,5000
0.66,200.39615814351944,60,5000
0.67,202.03831535075187,60,5000
0.68,202.5531254535468,60,5000
0.69,202.3760286509734,60,5000
0.7,202.42721798891463,60,5000
0.71,203.40417174825333,60,5000
0.72,203.53598277441952,60,5000
0.73,203.74434737013985,60,5000
0.74,203.03513782602022,60,5000
0.75,204.23478431804247,60,5000
0.76,203.96445086255227,60,5000
0.77,205.02816769782294,60,5000
0.78,204.39933130622816,60,5000
0.79,203.65744667173,60,5000
0.8,203.66512003645533,60,5000
0.81,204.64898810416585,60,5000
0.82,203.78891094205414,60,5000
0.83,203.76017837499228,60,5000
0.84,203.24180402342503,60,5000
0.85,203.66695986022066,60,5000
0.86,201.91010641132772,60,5000
0.87,202.07967885568652,60,5000
0.88,202.2665032031597,60,5000
0.89,200.81974358911415,60,5000
0.9,200.92163452964957,60,5000
0.91,201.04205193815596,60,5000
0.92,200.5785987189663,60,5000
0.93,199.63416019727055,60,5000
0.94,199.34464589263393,60,5000
0.95,198.91592346682418,60,5000
0.96,198.53231144772056,60,5000
0.97,198.43431812914667,60,5000
0.98,197.11348614352755,60,5000
0.99,196.2474605873897,60,5000
1,196.56718814136238,60,5000
1.01,195.22715870699275,60,5000
1.02,195.18342826638911,60,5000
1.03,194.4503837585341,60,5000
1.04,194.23638498059367,60,5000
1.05,194.34300639601375,60,5000
1.06,193.58578216112517,60,5000
1.07,192.9031860078239,60,5000
1.08,192.77639942920047,60,5000
1.09,192.410378022635,60,5000
1.1,191.12032146004293,60,5000
1.11,190.57631287640046,60,5000
1.12,190.59413013879274,60,5000
1.13,189.5901110392139,60,5000
1.14,190.16493128828435,60,5000
1.15,188.7950757819964,60,5000
1.16,188.51550049823675,60,5000
1.17,189.0195139604421,60,5000
1.18,188.02563500447386,60,5000
1.19,187.42965295146965,60,5000
1.2,187.7134535591283,60,5000
1.21,187.9265414658141,60,5000
1.22,187.4760599692501,60,5000
1.23,187.2406712560428,60,5000
1.24,186.40945237255872,60,5000
1.25,186.0686988417211,60,5000
1.26,186.40967645857995,60,5000
1.27,186.08008681185223,60,5000
1.28,185.16885476513514,60,5000
1.29,184.7372467532077,60,5000
1.3,185.33372918918315,60,5000
1.31,184.19256394226855,60,5000
1.32,184.10055072458937,60,5000
1.33,185.12212066150676,60,5000
1.34,184.28878937675773,60,5000
1.35,185.15462223707453,60,5000
1.36,183.50389195229275,60,5000
1.37,183.26107853256292,60,5000
1.38,183.6415733419442,60,5000
1.39,183.39364274231787,60,5000
1.4,183.65747381251632,60,5000
1.41,183.45817244985875,60,5000
1.42,183.36866994016,60,5000
1.43,183.0349420932005,60,5000
1.44,183.65795350472675,60,5000
1.45,183.02266592838544,60,5000
1.46,182.32706553803044,60,5000
1.47,183.46659102545505,60,5000
1.48,182.9387616491853,60,5000
1.49,182.84466564396084,60,5000
1.5,182.95773597679738,60,5000
