"time","motormodellAufgabe3_me_FMU.M","motormodellAufgabe3_me_FMU.alpha","motormodellAufgabe3_me_FMU.N"
0,0,20,800
0.01,0,20,800
0.02,0.6217206039005856,20,800
0.03,1.5012419728013424,20,800
0.04,1.597678229041936,20,800
0.05,2.7247837998838556,20,800
0.06,4.241004051012646,20,800
0.07,4.838041329708811,20,800
0.08,5.596191073254126,20,800
0.09,7.288107145349278,20,800
0.1,9.665962141177927,20,800
0.11,10.868856090994026,20,800
0.12,13.343722036253878,20,800
0.13,15.834398394409618,20,800
0.14,18.33152726601486,20,800
0.15,19.551039758794943,20,800
0.16,22.95699346092538,20,800
0.17,23.463744420550164,20,800
0.18,26.874927884873227,20,800
0.19,28.698457038866803,20,800
0.2,31.89892490419793,20,800
0.21,34.7063353798709,20,800
0.22,37.037728811360665,20,800
0.23,39.215564370677164,20,800
0.24,43.47286277908355,20,800
0.25,45.21035446250658,20,800
0.26,46.951537462013974,20,800
0.27,50.057503344011906,20,800
0.28,52.16532784473573,20,800
0.29,54.52117609263927,20,800
0.3,57.585248039091915,20,800
0.31,60.67127070825318,20,800
0.32,61.5308514609039,20,800
0.33,64.2505083957682,20,800
0.34,66.47548952822179,20,800
0.35,69.41454244442158,20,800
0.36,71.63342540074727,20,800
0.37,73.11739622674416,20,800
0.38,75.32645960959405,20,800
0.39,76.8550490346131,20,800
0.4,79.79612741968087,20,800
0.41,82.00451539113904,20,800
0.42,82.87958563024543,20,800
0.43,85.26118912418981,20,800
0.44,86.28024536565079,20,800
0.45,88.88222256234629,20,800
0.46,90.14087433412219,20,800
0.47,92.0896055261114,20,800
0.48,92.20358554952261,20,800
0.49,93.63778246415927,20,800
0.5,95.10218955732695,20,800
0.51,96.5690661743148,20,800
0.52,97.47117314191868,20,800
0.53,98.50908330503295,20,800
0.54,100.36160830324111,20,800
0.55,101.59646753256601,20,800
0.56,102.5323580221415,20,800
0.57,103.28679580966464,20,800
0.58,104.24412216815452,20,800
0.59,105.2700642766652,20,800
0.6,105.66733859754153,20,800
0.61,105.48423356346176,20,800
0.62,107.39666121631896,20,800
0.63,106.65905407696789,20,800
0.64,107.69089738662002,20,800
0.65,108.15461621841274,20,800
0.66,108.10288026530034,20,800
0.67,109.43712340602804,20,800
0.68,109.68072748098419,20,800
0.69,109.26769999208128,20,800
0.7,109.11679547977863,20,800
0.71,109.92405184150726,20,800
0.72,109.91712337016256,20,800
0.73,110.01627313795713,20,800
0.74,109.22594880406369,20,800
0.75,110.37116757924309,20,800
0.76,110.07169504243812,20,800
0.77,111.1301801830812,20,800
0.78,110.51865788804696,20,800
0.79,109.81529347306171,20,800
0.8,109.88137752763299,20,800
0.81,110.94225702675308,20,800
0.82,110.17652996639563,20,800
0.83,110.25825332263308,20,800
0.84,109.86523849136292,20,800
0.85,110.42948708982507,20,800
0.86,108.82432225068528,20,800
0.87,109.15707567009451,20,800
0.88,109.51750459447341,20,800
0.89,108.25373979064025,20,800
0.9,108.54701834925439,20,800
0.91,108.86625512820886,20,800
0.92,108.60812865764976,20,800
0.93,107.87463677165067,20,800
0.94,107.80083847968196,20,800
0.95,107.5917879143045,20,800
0.96,107.43102696250092,20,800
0.97,107.55832398603249,20,800
0.98,106.46451813316862,20,800
0.99,105.82658712714252,20,800
1,106.37484597821104,20,800
1.01,105.26318814672811,20,800
1.02,105.44710786821283,20,800
1.03,104.94046443908955,20,800
1.04,104.95112347612157,20,800
1.05,105.2801980358846,20,800
1.06,104.74279291041093,20,800
1.07,104.27698374083248,20,800
1.08,104.3635844000088,20,800
1.09,104.20721250261732,20,800
1.1,103.12275851619754,20,800
1.11,102.78002426793398,20,800
1.12,102.9945333129201,20,800
1.13,102.18239521047974,20,800
1.14,102.94408258890526,20,800
1.15,101.75590147376423,20,800
1.16,101.65265223941347,20,800
1.17,102.3275101238172,20,800
1.18,101.49888204534687,20,800
1.19,101.0624658267677,20,800
1.2,101.50007520117015,20,800
1.21,101.86116131639422,20,800
1.22,101.55283158173941,20,800
1.23,101.45372897508952,20,800
1.24,100.75292710272828,20,800
1.25,100.53673291803953,20,800
1.26,100.9964376334447,20,800
1.27,100.77978137415226,20,800
1.28,99.97573980868061,20,800
1.29,99.64564161271228,20,800
1.3,100.33802606307529,20,800
1.31,99.28723772253176,20,800
1.32,99.28016805465289,20,800
1.33,100.38134824392883,20,800
1.34,99.6224015530691,20,800
1.35,100.55750786268382,20,800
1.36,98.97106058979988,20,800
1.37,98.78766598718914,20,800
1.38,99.22284656306816,20,800
1.39,99.02500411531322,20,800
1.4,99.33446486521848,20,800
1.41,99.17647699805374,20,800
1.42,99.12411669648783,20,800
1.43,98.82350676380437,20,800
1.44,99.47576039786132,20,800
1.45,98.86598909902465,20,800
1.46,98.1923294922938,20,800
1.47,99.35037100840138,20,800
1.48,98.83778353921106,20,800
1.49,98.75580547668729,20,800
1.5,98.87801912094096,20,800
1.51,99.11538181328385,20,800
1.52,98.21121096967585,20,800
1.53,100.18262429093298,20,800
1.54,97.98982384021934,20,800
1.55,99.15395148116468,20,800
1.56,99.3168803936852,20,800
1.57,98.6893769048023,20,800
1.58,99.22762202027018,20,800
1.59,98.31428771662463,20,800
1.6,99.14799773785808,20,800
1.61,99.65859643873657,20,800
1.62,98.23157516282072,20,800
1.63,98.4514655086419,20,800
1.64,98.97890315429112,20,800
1.65,98.76692456208674,20,800
1.66,99.29782169437591,20,800
1.67,98.98271416171347,20,800
1.68,99.73569529940991,20,800
1.69,99.57923627823996,20,800
1.7,98.56711601743773,20,800
1.71,99.7842359239738,20,800
1.72,99.15279517616062,20,800
1.73,98.19023767594547,20,800
1.74,98.71421539370046,20,800
1.75,98.68687322624245,20,800
1.76,99.63489149317337,20,800
1.77,99.60595732521362,20,800
1.78,99.36450815813322,20,800
1.79,100.58880702232649,20,800
1.8,99.84507588878132,20,800
1.81,98.9878846487313,20,800
1.82,99.30216868969566,20,800
1.83,99.93760564327783,20,800
1.84,98.90008367913536,20,800
1.85,99.70597195571543,20,800
1.86,100.08145696211248,20,800
1.87,98.99804353602077,20,800
1.88,100.13744592828296,20,800
1.89,99.39525155388033,20,800
1.9,99.70748485004323,20,800
1.91,100.0805475562229,20,800
1.92,98.31181210479818,20,800
1.93,98.95920057997031,20,800
1.94,99.38097002008044,20,800
1.95,99.76065848282968,20,800
1.96,100.57637679726427,20,800
1.97,99.4072426681661,20,800
1.98,99.76198390106313,20,800
1.99,99.6366758238937,20,800
2,99.81289133882424,20,800
2.01,99.52788748842468,20,800
2.02,100.19691173781727,20,800
2.03,100.44613680901521,20,800
2.04,99.77458808301287,20,800
2.05,100.33695581238037,20,800
2.06,99.34673550134731,20,800
2.07,99.76400915796505,20,800
2.08,100.01307699760129,20,800
2.09,99.70624221719979,20,800
2.1,100.00313556369724,20,800
2.11,99.66826348570586,20,800
2.12,100.16194970037675,20,800
2.13,99.74916644768123,20,800
2.14,99.82957661957246,20,800
2.15,99.64882690681927,20,800
2.16,100.80666036042784,20,800
2.17,100.60586234630037,20,800
2.18,99.85013704461328,20,800
2.19,99.93844489546267,20,800
2.2,99.91307888450201,20,800
2.21,100.49705956221032,20,800
2.22,99.43902727984532,20,800
2.23,99.96001527715963,20,800
2.24,100.27012585208728,20,800
2.25,100.11148671690091,20,800
2.26,99.88187215632337,20,800
2.27,100.22722819716044,20,800
2.28,99.65648248279943,20,800
2.29,100.94252938534916,20,800
2.3,100.50912522345588,20,800
2.31,100.14302576376883,20,800
2.32,100.48044341012749,20,800
2.33,100.48230132950503,20,800
2.34,100.78478329537117,20,800
2.35,99.82454149249088,20,800
2.36,99.10444658459099,20,800
2.37,100.27073776907764,20,800
2.38,100.23557866783565,20,800
2.39,99.68992881839834,20,800
2.4,100.31261971087156,20,800
2.41,100.21877272624337,20,800
2.42,99.99593270926631,20,800
2.43,100.53044502314496,20,800
2.44,99.51261198600058,20,800
2.45,100.43509938970197,20,800
2.46,99.99769948435721,20,800
2.47,99.89964098107859,20,800
2.48,99.83230740927736,20,800
2.49,100.41490620490366,20,800
2.5,100.13749585091735,20,800
2.51,99.74982413935595,20,800
2.52,100.13861312008552,20,800
2.53,100.52784994980492,20,800
2.54,100.49161705324184,20,800
2.55,100.24342994420427,20,800
2.56,99.97831004108366,20,800
2.57,100.29163460170375,20,800
2.58,100.6940149135907,20,800
2.59,100.58098022081138,20,800
2.6,100.26042280744585,20,800
2.61,100.80461282424986,20,800
2.62,99.25538191035368,20,800
2.63,100.52978749360439,20,800
2.64,100.11936240774644,20,800
2.65,99.80987295803385,20,800
2.66,99.742051738245,20,800
2.67,99.82105337739938,20,800
2.68,100.5699063041714,20,800
2.69,100.79440515681378,20,800
2.7,99.87628587522597,20,800
2.71,99.99131198426242,20,800
2.72,100.71386456105571,20,800
2.73,99.7010493162225,20,800
