"time","motormodellAufgabe3_me_FMU.M","motormodellAufgabe3_me_FMU.alpha","motormodellAufgabe3_me_FMU.N"
0,0,90,1500
0.01,0,90,1500
0.02,0.7029706053810683,90,1500
0.03,1.740116975523641,90,1500
0.04,2.065767607775157,90,1500
0.05,3.488987504405554,90,1500
0.06,5.363634998171916,90,1500
0.07,6.3769333755280435,90,1500
0.08,7.604811974286958,90,1500
0.09,9.815675940009108,90,1500
0.1,12.75757040343536,90,1500
0.11,14.565592530647804,90,1500
0.12,17.68279994184664,90,1500
0.13,20.84928543672911,90,1500
0.14,24.05207720193821,90,1500
0.15,26.00362559694662,90,1500
0.16,30.16464167218044,90,1500
0.17,31.446269797777923,90,1500
0.18,35.64906867744065,90,1500
0.19,38.278010008266705,90,1500
0.2,42.29487996769818,90,1500
0.21,45.92700952926439,90,1500
0.22,49.08889901370078,90,1500
0.23,52.10059917728284,90,1500
0.24,57.1928523880658,90,1500
0.25,59.764238998582826,90,1500
0.26,62.336233255416445,90,1500
0.27,66.26802700784505,90,1500
0.28,69.19491796717837,90,1500
0.29,72.36141237690742,90,1500
0.3,76.22616774006617,90,1500
0.31,80.10148223012078,90,1500
0.32,81.73764499506316,90,1500
0.33,85.2199634925854,90,1500
0.34,88.19257951001465,90,1500
0.35,91.86323558026612,90,1500
0.36,94.79678277636656,90,1500
0.37,96.97766625483676,90,1500
0.38,99.86516913750117,90,1500
0.39,102.05309101720816,90,1500
0.4,105.63384513579922,90,1500
0.41,108.46178319175303,90,1500
0.42,109.93588621593894,90,1500
0.43,112.89568735830412,90,1500
0.44,114.47185863776755,90,1500
0.45,117.60968772455476,90,1500
0.46,119.38281123979462,90,1500
0.47,121.8245772076958,90,1500
0.48,122.41015507816468,90,1500
0.49,124.2945665397993,90,1500
0.5,126.18790888329418,90,1500
0.51,128.0625926753742,90,1500
0.52,129.3515740892263,90,1500
0.53,130.7556624155404,90,1500
0.54,132.95394388476996,90,1500
0.55,134.514447749063,90,1500
0.56,135.75621335654142,90,1500
0.57,136.79712880434113,90,1500
0.58,138.02193452514615,90,1500
0.59,139.2967814017397,90,1500
0.6,139.92483167371677,90,1500
0.61,139.9548392408562,90,1500
0.62,142.06319900616796,90,1500
0.63,141.5048415383313,90,1500
0.64,142.6997631947346,90,1500
0.65,143.3109112038237,90,1500
0.66,143.39148651285475,90,1500
0.67,144.84346150254015,90,1500
0.68,145.19076199990522,90,1500
0.69,144.8679433028342,90,1500
0.7,144.79430996856595,90,1500
0.71,145.6664506293808,90,1500
0.72,145.7125696129667,90,1500
0.73,145.85347799143878,90,1500
0.74,145.09416813598824,90,1500
0.75,146.26019750878405,90,1500
0.76,145.97186638542294,90,1500
0.77,147.03235187989426,90,1500
0.78,146.4142094891163,90,1500
0.79,145.69611675490555,90,1500
0.8,145.7398673104181,90,1500
0.81,146.77130126223452,90,1500
0.82,145.969499162971,90,1500
0.83,146.00898937206458,90,1500
0.84,145.56804295950434,90,1500
0.85,146.07910903144693,90,1500
0.86,144.4159456062251,90,1500
0.87,144.68630629987976,90,1500
