"time","motormodellAufgabe3_me_FMU.M","motormodellAufgabe3_me_FMU.alpha","motormodellAufgabe3_me_FMU.N"
0,0,0,800
0.01,0,0,800
0.02,0.4392206005751937,0,800
0.03,0.9646919666866408,0,800
0.04,0.5462774706565471,0,800
0.05,1.008264709727423,0,800
0.06,1.7194022312395125,0,800
0.07,1.3814530421763742,0,800
0.08,1.084519510934216,0,800
0.09,1.6107987758056543,0,800
0.1,2.7217343521073816,0,800
0.11,2.5654173188486147,0,800
0.12,3.597485509845525,0,800
0.13,4.570190576276602,0,800
0.14,5.482292025325485,0,800
0.15,5.057539260792718,0,800
0.16,6.7675067094909265,0,800
0.17,5.533764342469326,0,800
0.18,7.166857796952515,0,800
0.19,7.181307292214674,0,800
0.2,8.548010453874236,0,800
0.21,9.50297498277162,0,800
0.22,9.968946510719723,0,800
0.23,10.273793881993582,0,800
0.24,12.655655349677186,0,800
0.25,12.520090735319856,0,800
0.26,12.39514383375604,0,800
0.27,13.646173268325073,0,800
0.28,13.914248492787566,0,800
0.29,14.4492607464369,0,800
0.3,15.714874556903563,0,800
0.31,17.028026366827483,0,800
0.32,16.14328444571536,0,800
0.33,17.149886178301752,0,800
0.34,17.69556433834854,0,800
0.35,18.991324016216915,0,800
0.36,19.60496114166395,0,800
0.37,19.523558932874614,0,800
0.38,20.208742823833497,0,800
0.39,20.256370119861153,0,800
0.4,21.760638395784248,0,800
0.41,22.57742156206764,0,800
0.42,22.106972006995388,0,800
0.43,23.189854629102264,0,800
0.44,22.957544785203794,0,800
0.45,24.355916198001,0,800
0.46,24.458985284457828,0,800
0.47,25.300284518244748,0,800
0.48,24.354983223649505,0,800
0.49,24.777929001952273,0,800
0.5,25.27888153284652,0,800
0.51,25.829760495012017,0,800
0.52,25.862887937196938,0,800
0.53,26.07830561066236,0,800
0.54,27.15420838165325,0,800
0.55,27.657619661665084,0,800
0.56,27.906467578720058,0,800
0.57,28.01743246777586,0,800
0.58,28.373959027834697,0,800
0.59,28.840822734189953,0,800
0.6,28.719738764901585,0,800
0.61,28.05795004192952,0,800
0.62,29.53028402681192,0,800
0.63,28.390054548366937,0,800
0.64,29.055598802239555,0,800
0.65,29.1881690204127,0,800
0.66,28.839241616947394,0,800
0.67,29.909040912323967,0,800
0.68,29.91972686925384,0,800
0.69,29.304076555620867,0,800
0.7,28.97960908957935,0,800
0.71,29.641125333360513,0,800
0.72,29.515044117094646,0,800
0.73,29.520397620905904,0,800
0.74,28.660409996971413,0,800
0.75,29.75888496827402,0,800
0.76,29.43438710281046,0,800
0.77,30.488379141008654,0,800
0.78,29.891726599491083,0,800
0.79,29.22144425538163,0,800
0.8,29.337692784761774,0,800
0.81,30.464711513210098,0,800
0.82,29.780014540241574,0,800
0.83,29.956600042371377,0,800
0.84,29.671246916768098,0,800
0.85,30.35495165172036,0,800
0.86,28.88006055978034,0,800
0.87,29.352957640115278,0,800
0.88,29.86248225995438,0,800
0.89,28.75587770489186,0,800
0.9,29.213524453150107,0,800
0.91,29.703511985548218,0,800
0.92,29.62172495793068,0,800
0.93,29.069399006118136,0,800
0.94,29.180862701499475,0,800
0.95,29.16047149861097,0,800
0.96,29.19110028695923,0,800
0.97,29.51188195724024,0,800
0.98,28.613051488977938,0,800
0.99,28.171013449518338,0,800
1,28.915540355739783,0,800
1.01,28.000013430265412,0,800
1.02,28.379444467426033,0,800
1.03,28.06723961180184,0,800
1.04,28.27084006639845,0,800
1.05,28.79096262071485,0,800
1.06,28.442343318621035,0,800
1.07,28.162715911533947,0,800
1.08,28.432578551408906,0,800
1.09,28.456258585425644,0,800
1.1,27.548380929130307,0,800
1.11,27.37850581595692,0,800
1.12,27.761938391876573,0,800
1.13,27.11459220462577,0,800
1.14,28.0367654706151,0,800
1.15,27.004610597282607,0,800
1.16,27.052794323012478,0,800
1.17,27.874377417068914,0,800
1.18,27.187670680449756,0,800
1.19,26.88829335496505,0,800
1.2,27.457997317276867,0,800
