"time","motormodellAufgabe3_me_FMU.M","motormodellAufgabe3_me_FMU.alpha","motormodellAufgabe3_me_FMU.N"
0,0,90,5000
0.01,0,90,5000
0.02,0.871720608455917,90,5000
0.03,2.2362419811776464,90,5000
0.04,3.0379532405287706,90,5000
0.05,5.076179813796776,90,5000
0.06,7.695253119195019,90,5000
0.07,9.573093778383381,90,5000
0.08,11.776563076432083,90,5000
0.09,15.065241898148761,90,5000
0.1,19.178602948123878,90,5000
0.11,22.24342975146719,90,5000
0.12,26.694730976539294,90,5000
0.13,31.26482006308498,90,5000
0.14,35.93321937654825,90,5000
0.15,39.40515003003087,90,5000
0.16,45.13437257247942,90,5000
0.17,48.025360965866376,90,5000
0.18,53.872284169696115,90,5000
0.19,58.174004637020396,90,5000
0.2,63.88647894573723,90,5000
0.21,69.23148660877402,90,5000
0.22,74.1182525108688,90,5000
0.23,78.86182531407933,90,5000
0.24,85.68821542210596,90,5000
0.25,89.99153765043359,90,5000
0.26,94.28906298017553,90,5000
0.27,99.93603769426784,90,5000
0.28,104.56406668302088,90,5000
0.29,109.41421081346445,90,5000
0.3,114.94192404208967,90,5000
0.31,120.45653692938428,90,5000
0.32,123.70560079677861,90,5000
0.33,128.77190869366743,90,5000
0.34,133.29730485681526,90,5000
0.35,138.48744440086637,90,5000
0.36,142.90529424880663,90,5000
0.37,146.53361169779834,90,5000
0.38,150.8301812339236,90,5000
0.39,154.38748590413633,90,5000
0.4,159.29679731542967,90,5000
0.41,163.41149323918205,90,5000
0.42,166.12974127853315,90,5000
0.43,170.29041445992618,90,5000
0.44,173.02367081831787,90,5000
0.45,177.2744230614494,90,5000
0.46,180.11606481311446,90,5000
0.47,183.58182608483284,90,5000
0.48,185.14687640688302,90,5000
0.49,187.96634885074417,90,5000
0.5,190.75055671414947,90,5000
0.51,193.4722246391131,90,5000
0.52,195.56471451824984,90,5000
0.53,197.72932672197894,90,5000
0.54,200.6457177848683,90,5000
0.55,202.88256050640288,90,5000
0.56,204.75960520491057,90,5000
0.57,206.3955127163616,90,5000
0.58,208.17585249735973,90,5000
0.59,209.96765543074085,90,5000
0.6,211.07500960115786,90,5000
0.61,211.54763564775246,90,5000
0.62,214.06293133893135,90,5000
0.63,213.87686165039386,90,5000
0.64,215.41048448851106,90,5000
0.65,216.3278315581388,90,5000
0.66,216.68320718085232,90,5000
0.67,218.37970216452678,90,5000
0.68,218.9423721545874,90,5000
0.69,218.80691017901336,90,5000
0.7,218.89376313758586,90,5000
0.71,219.9006634965028,90,5000
0.72,220,90,5000
0.73,220,90,5000
0.74,219.58970059460103,90,5000
0.75,220,90,5000
0.76,220,90,5000
0.77,220,90,5000
0.78,220,90,5000
0.79,220,90,5000
0.8,220,90,5000
0.81,220,90,5000
0.82,220,90,5000
0.83,220,90,5000
0.84,219.7200214702599,90,5000
0.85,220,90,5000
0.86,218.33700949850024,90,5000
0.87,218.477785300203,90,5000
0.88,218.63397354586928,90,5000
0.89,217.15492073002156,90,5000
0.9,217.22303738501364,90,5000
0.91,217.30836902226451,90,5000
0.92,216.80868167096355,90,5000
0.93,215.82701727238015,90,5000
0.94,215.4994354360963,90,5000
0.95,215.03194738785726,90,5000
0.96,214.6090087098183,90,5000
0.97,214.47125827204928,90,5000
0.98,213.11036285123805,90,5000
0.99,212.20408531566878,90,5000
1,212.48348381721274,90,5000
1.01,211.1031535117455,90,5000
1.02,211.01924951312623,90,5000
1.03,210.24625187373024,90,5000
1.04,209.99260759902995,90,5000
1.05,210.05997257721302,90,5000
1.06,209.26395673478063,90,5000
1.07,208.54310405494004,90,5000
1.08,208.37866090494018,90,5000
1.09,207.97564252616755,90,5000
1.1,206.64930315601563,90,5000
1.11,206.06977557201213,90,5000
1.12,206.052882519829,90,5000
1.13,205.01500206781392,90,5000
1.14,205.5568457646452,90,5000
1.15,204.15493007168422,90,5000
1.16,203.84423842626413,90,5000
1.17,204.31810287278745,90,5000
1.18,203.29506199726075,90,5000
1.19,202.67092126759326,90,5000
1.2,202.92757915170887,90,5000
1.21,203.11454972747615,90,5000
1.22,202.63898262586935,90,5000
1.23,202.37954342326955,90,5000
1.24,201.52530977311676,90,5000
1.25,201.1625751811941,90,5000
1.26,201.48260095713306,90,5000
1.27,201.1330818890932,90,5000
1.28,200.2029338750975,90,5000
1.29,199.75341236623612,90,5000
1.3,200.33297091731967,90,5000
1.31,199.17585680457486,90,5000
1.32,199.06885354869564,90,5000
1.33,200.07637461754985,90,5000
1.34,199.22991663976154,90,5000
1.35,200.08352477373168,90,5000
1.36,198.42145042802673,90,5000
1.37,198.16815133468768,90,5000
1.38,198.538995714687,90,5000
1.39,198.2822260294363,90,5000
1.4,198.53800480321587,90,5000
1.41,198.33141282370661,90,5000
1.42,198.23535580669034,90,5000
1.43,197.8957836219174,90,5000
1.44,198.5136346412324,90,5000
1.45,197.87384419239024,90,5000
1.46,197.17437189904274,90,5000
1.47,198.31062985199387,90,5000
1.48,197.78011072741594,90,5000
1.49,197.68387626171494,90,5000
1.5,197.79533306900728,90,5000
1.51,198.02526415763964,90,5000
1.52,197.11681432166898,90,5000
1.53,199.0869306842396,90,5000
1.54,196.89564708397577,90,5000
1.55,198.06393979835568,90,5000
1.56,198.23351932179017,90,5000
1.57,197.61499243636825,90,5000
1.58,198.16438396176395,90,5000
1.59,197.26421324461631,90,5000
1.6,198.11295513229868,90,5000
1.61,198.64030897381386,90,5000
1.62,197.231625136605,90,5000
1.63,197.47129839346772,90,5000
1.64,198.0198318505562,90,5000
1.65,197.83013373888735,90,5000
1.66,198.38437220113397,90,5000
1.67,198.09354749568436,90,5000
1.68,198.87163811468884,90,5000
1.69,198.74100492260843,90,5000
1.7,197.75532108410718,90,5000
1.71,198.9993868059904,90,5000
1.72,198.3953046119321,90,5000
1.73,197.46042627503675,90,5000
1.74,198.01231613271838,90,5000
1.75,198.01303590528923,90,5000
1.76,198.98918714399537,90,5000
1.77,198.98838256280249,90,5000
1.78,198.7749894681518,90,5000
1.79,200.02720497733105,90,5000
1.8,199.31118928679382,90,5000
1.81,198.48145456828007,90,5000
1.82,198.82288245598997,90,5000
1.83,199.48510070071063,90,5000
1.84,198.4739513658193,90,5000
1.85,199.30576117624872,90,5000
1.86,199.70667775524444,90,5000
1.87,198.64817053434126,90,5000
1.88,199.81192170749512,90,5000
1.89,199.09348986963224,90,5000
1.9,199.42887376069203,90,5000
1.91,199.82445243028306,90,5000
1.92,198.0775785121862,90,5000
1.93,198.7461570664993,90,5000
1.94,199.1884307649815,90,5000
1.95,199.58792583938236,90,5000
1.96,200.4227437169055,90,5000
1.97,199.27199500871762,90,5000
1.98,199.64440261996978,90,5000
1.99,199.53603905760139,90,5000
2,199.72847636964644,90,5000
2.01,199.4589726004491,90,5000
2.02,200.1427779635937,90,5000
2.03,200.40606956893748,90,5000
2.04,199.74787871946702,90,5000
2.05,200.32290302087392,90,5000
2.06,199.34464666096608,90,5000
2.07,199.77320156361975,90,5000
2.08,200.03287899663022,90,5000
2.09,199.73599425298596,90,5000
2.1,200.04219112903732,90,5000
2.11,199.7159899887369,90,5000
2.12,200.21772924592378,90,5000
2.13,199.81239653693555,90,5000
2.14,199.8996707710477,90,5000
2.15,199.72521520155905,90,5000
2.16,200.88878991445765,90,5000
2.17,200.69319771332604,90,5000
2.18,199.94216055197015,90,5000
2.19,200.0346569163135,90,5000
2.2,200.01299804926904,90,5000
