"time","motormodellAufgabe3_me_FMU.M","motormodellAufgabe3_me_FMU.alpha","motormodellAufgabe3_me_FMU.N"
0,0,80,1000
0.01,0,80,1000
0.02,0.6792206049483118,80,1000
0.03,1.670291974727892,80,1000
0.04,1.9289414816839077,80,1000
0.05,3.265604883083827,80,1000
0.06,5.035481336694591,80,1000
0.07,5.927103392903961,80,1000
0.08,7.017676633985054,80,1000
0.09,9.076848138493157,80,1000
0.1,11.853869526775492,80,1000
0.11,13.48500803290285,80,1000
0.12,16.41445409251952,80,1000
0.13,19.383395378204945,80,1000
0.14,22.37991645143753,80,1000
0.15,24.1174851211792,80,1000
0.16,28.0577906565828,80,1000
0.17,29.11291622597288,80,1000
0.18,33.084319830382476,80,1000
0.19,35.4778329864421,80,1000
0.2,39.25606233375194,80,1000
0.21,42.64712016251859,80,1000
0.22,45.56624926224751,80,1000
0.23,48.33420438765963,80,1000
0.24,53.18239388697868,80,1000
0.25,55.51002659572978,80,1000
0.26,57.83916833119112,80,1000
0.27,61.52956624457076,80,1000
0.28,64.21703777754131,80,1000
0.29,67.14657407842905,80,1000
0.3,70.77728351978139,80,1000
0.31,74.42188193911332,80,1000
0.32,75.83104380815509,80,1000
0.33,79.09043046428499,80,1000
0.34,81.8445070537983,80,1000
0.35,85.3013098944039,80,1000
0.36,88.02595523580095,80,1000
0.37,90.00312578508665,80,1000
0.38,92.69231558318988,80,1000
0.39,94.68750951460348,80,1000
0.4,98.08128149570312,80,1000
0.41,100.72812029618896,80,1000
0.42,102.02712142935162,80,1000
0.43,104.81791095140919,80,1000
0.44,106.23123321976422,80,1000
0.45,109.21242867714001,80,1000
0.46,110.83516814429038,80,1000
0.47,113.1328162546173,80,1000
0.48,113.58054244671547,80,1000
0.49,115.33335273307374,80,1000
0.5,117.10131400339604,80,1000
0.51,118.85679262121833,80,1000
0.52,120.03268765847477,80,1000
0.53,121.32973929093048,80,1000
0.54,123.4269534840153,80,1000
0.55,124.89226891654845,80,1000
0.56,126.04462487417833,80,1000
0.57,127.0018006982049,80,1000
