"time","motormodellAufgabe3_me_FMU.M","motormodellAufgabe3_me_FMU.alpha","motormodellAufgabe3_me_FMU.N"
0,0,50,1000
0.01,0,50,1000
0.02,0.6642206046749919,50,1000
0.03,1.626191974225314,50,1000
0.04,1.8425249809946977,50,1000
0.05,3.1245211222490514,50,1000
0.06,4.828226392603649,50,1000
0.07,5.643000245983488,50,1000
0.08,6.646854313794377,50,1000
0.09,8.610220053325191,50,1000
0.1,11.283111078358742,50,1000
0.11,12.80253361327447,50,1000
0.12,15.613393556102407,50,1000
0.13,18.457570078084437,50,1000
0.14,21.323814924805543,50,1000
0.15,22.92623850490506,50,1000
0.16,26.727147909889577,50,1000
0.17,27.63921923325393,50,1000
0.18,31.46447845329313,50,1000
0.19,33.70930013055292,50,1000
0.2,37.33680909125962,50,1000
0.21,40.57561108878443,50,1000
0.22,43.34141784027704,50,1000
0.23,45.95542873105552,50,1000
0.24,50.649472728397356,50,1000
0.25,52.82315560445417,50,1000
0.26,54.99891680010144,50,1000
0.27,58.53685418355541,50,1000
0.28,61.0731134472442,50,1000
0.29,63.85299199517954,50,1000
0.3,67.33588295960153,50,1000
0.31,70.83476596584548,50,1000
0.32,72.10055884800262,50,1000
0.33,75.21914644641109,50,1000
0.34,77.83519813408272,50,1000
0.35,81.15693577701722,50,1000
0.36,83.74964310491741,50,1000
0.37,85.59815285682343,50,1000
0.38,88.16209228573015,50,1000
0.39,90.03556330243212,50,1000
0.4,93.31124130195825,50,1000
0.41,95.84370162530644,50,1000
0.42,97.03211209045442,50,1000
0.43,99.71615743126509,50,1000
0.44,101.02662769260427,50,1000
0.45,103.90889664719388,50,1000
0.46,105.43665671555091,50,1000
0.47,107.64328302109406,50,1000
0.48,108.0039449952739,50,1000
0.49,109.67363874987873,50,1000
0.5,111.3624119739868,50,1000
0.51,113.04260311333053,50,1000
0.52,114.147075175895,50,1000
0.53,115.37652468591381,50,1000
0.54,117.40990691511776,50,1000
0.55,118.81510333811833,50,1000
0.56,119.91099004321227,50,1000
0.57,120.81527768380313,50,1000
0.58,121.91251632411938,50,1000
0.59,123.06865477285801,50,1000
0.6,123.58664266815627,50,1000
0.61,123.51501191779113,50,1000
0.62,125.52992713716299,50,1000
0.63,124.88608136445022,50,1000
0.64,126.00322719394143,50,1000
0.65,126.5440628261661,50,1000
0.66,126.5615358409441,50,1000
0.67,127.95736179497274,50,1000
0.68,128.25520707549663,50,1000
0.69,127.88936572385963,50,1000
0.7,127.77887998160577,50,1000
0.71,128.62007582285645,50,1000
0.72,128.6408952510139,50,1000
0.73,128.76188798439367,50,1000
0.74,127.98778660845494,50,1000
0.75,129.14389092700293,50,1000
0.76,128.8502462064609,50,1000
0.77,129.9097776860295,50,1000
0.78,129.2947925716832,50,1000
0.79,128.58372411279535,50,1000
0.8,128.63812602939745,50,1000
0.81,129.68360324223562,50,1000
0.82,128.8990061615273,50,1000
0.83,128.9586383331049,50,1000
0.84,128.5405515977753,50,1000
0.85,129.07698164390413,50,1000
0.86,127.44147908281371,50,1000
0.87,127.7415963072129,50,1000
0.88,128.06730431621062,50,1000
0.89,126.76694055033501,50,1000
0.9,127.02194158533341,50,1000
0.91,127.30141449019825,50,1000
0.92,127.00222266991304,50,1000
0.93,126.22654145677461,50,1000
0.94,126.10959996227231,50,1000
0.95,125.85661502480839,50,1000
0.96,125.65128385954482,50,1000
0.97,125.73352281465532,50,1000
0.98,124.5943117352404,50,1000
0.99,123.91076181919193,50,1000
1,124.41331441084131,50,1000
1.01,123.25598225878103,50,1000
1.02,123.39437194784807,50,1000
1.03,122.84244830297845,50,1000
1.04,122.80817577701599,50,1000
1.05,123.09275970791042,50,1000
1.06,122.51139076055377,50,1000
1.07,122.00222419423078,50,1000
1.08,122.04614740584714,50,1000
1.09,121.84784560662085,50,1000
1.1,120.72227110496658,50,1000
1.11,120.33928198962725,50,1000
1.12,120.51445267809461,50,1000
1.13,119.66393837622655,50,1000
1.14,120.38825232878105,50,1000
1.15,119.16373633541065,50,1000
1.16,119.02522189117813,50,1000
1.17,119.66591089114219,50,1000
1.18,118.80423263717228,50,1000
1.19,118.33590325170812,50,1000
1.2,118.7427508727618,50,1000
1.21,119.07423734627822,50,1000
1.22,118.73747725924159,50,1000
1.23,118.6111174312802,50,1000
1.24,117.88423215669438,50,1000
1.25,117.64312610277585,50,1000
1.26,118.07908539847173,50,1000
