"time","motormodellAufgabe3_me_FMU.M","motormodellAufgabe3_me_FMU.alpha","motormodellAufgabe3_me_FMU.N"
0,0,50,3000
0.01,0,50,3000
0.02,0.7767206067248911,50,3000
0.03,1.9569419779946509,50,3000
0.04,2.490648736163774,50,3000
0.05,4.182649328509867,50,3000
0.06,6.382638473285718,50,3000
0.07,7.773773847887044,50,3000
0.08,9.428021715224459,50,3000
0.09,12.109930692084959,50,3000
0.1,15.56379944148442,50,3000
0.11,17.921091760487393,50,3000
0.12,21.621347579230843,50,3000
0.13,25.40125982898835,50,3000
0.14,29.24457637454557,50,3000
0.15,31.860588126961233,50,3000
0.16,36.7069685100889,50,3000
0.17,38.691946678646225,50,3000
0.18,43.61328878146343,50,3000
0.19,46.97329654972204,50,3000
0.2,51.73120840995231,50,3000
0.21,56.111929141790846,50,3000
0.22,60.027653505055724,50,3000
0.23,63.79624615558653,50,3000
0.24,69.64638141775748,50,3000
0.25,72.97468803902137,50,3000
0.26,76.30080328327418,50,3000
0.27,80.98219464117062,50,3000
0.28,84.65254592447256,50,3000
0.29,88.55485761955092,50,3000
0.3,93.14638716095058,50,3000
0.31,97.73813576535453,50,3000
0.32,100.07919604914628,50,3000
0.33,104.25377658046577,50,3000
0.34,107.90501503194983,50,3000
0.35,112.23974165741743,50,3000
0.36,115.82198408654416,50,3000
0.37,118.63544981879784,50,3000
0.38,122.13876701667849,50,3000
0.39,124.9251598937176,50,3000
0.4,129.0865427550452,50,3000
0.41,132.4768416569258,50,3000
0.42,134.49468213218393,50,3000
0.43,137.97930883234645,50,3000
0.44,140.0611691463044,50,3000
0.45,143.68538687179026,50,3000
0.46,145.9254924310974,50,3000
0.47,148.8147822725187,50,3000
0.48,149.82842588108605,50,3000
0.49,152.1214936238419,50,3000
0.5,154.4041771945569,50,3000
0.51,156.64902442248976,50,3000
0.52,158.289168795244,50,3000
0.53,160.0256342235395,50,3000
0.54,162.53775618184997,50,3000
0.55,164.39384517634494,50,3000
0.56,165.9132512754584,50,3000
0.57,167.21420029181684,50,3000
0.58,168.68179497226183,50,3000
0.59,170.1825707921922,50,3000
0.6,171.02009461978372,50,3000
0.61,171.243542855722,50,3000
0.62,173.52974869233864,50,3000
0.63,173.13409477249203,50,3000
