"time","motormodellAufgabe3_me_FMU.M","motormodellAufgabe3_me_FMU.alpha","motormodellAufgabe3_me_FMU.N"
0,0,10,3000
0.01,0,10,3000
0.02,0.4592206009396202,10,3000
0.03,1.023491967356745,10,3000
0.04,0.6614994715754937,10,3000
0.05,1.1963763908404565,10,3000
0.06,1.9957421566941025,10,3000
0.07,1.7602572380703396,10,3000
0.08,1.5789492711884523,10,3000
0.09,2.232969556029613,10,3000
0.1,3.482745616663058,10,3000
0.11,3.475383211686469,10,3000
0.12,4.6655662250683605,10,3000
0.13,5.804624309770634,10,3000
0.14,6.89042739416816,10,3000
0.15,6.645868082491595,10,3000
0.16,8.541697038415252,10,3000
0.17,7.498693666094626,10,3000
0.18,9.326646299738352,10,3000
0.19,9.539351100066966,10,3000
0.2,11.107014777197387,10,3000
0.21,12.264987081083875,10,3000
0.22,12.935388406680381,10,3000
0.23,13.445494757465761,10,3000
0.24,16.03288356111899,10,3000
0.25,16.102585390354033,10,3000
0.26,16.182145875208978,10,3000
0.27,17.636456016345562,10,3000
0.28,18.106147599850395,10,3000
0.29,18.840703524102928,10,3000
0.3,20.303408637143402,10,3000
0.31,21.810847664517986,10,3000
0.32,21.117264392585355,10,3000
0.33,22.311598202133712,10,3000
0.34,23.04130956463604,10,3000
0.35,24.51715617273252,10,3000
0.36,25.306710649508723,10,3000
0.37,25.396856170558976,10,3000
0.38,26.249040553779896,10,3000
0.39,26.45896506942304,10,3000
0.4,28.12069198744418,10,3000
0.41,29.089979789911116,10,3000
0.42,28.766984458858442,10,3000
0.43,29.992192655961215,10,3000
0.44,29.897018821417202,10,3000
0.45,31.427292237929294,10,3000
0.46,31.657000522777246,10,3000
0.47,32.6196621629425,10,3000
0.48,31.79044649223837,10,3000
0.49,32.32421431287909,10,3000
0.5,32.93075090539234,10,3000
0.51,33.5820131721959,10,3000
0.52,33.71037124730344,10,3000
0.53,34.01592508401805,10,3000
0.54,35.17693714018343,10,3000
0.55,35.76050709957205,10,3000
0.56,36.084647353341616,10,3000
0.57,36.26612982031164,10,3000
0.58,36.688497454171134,10,3000
0.59,37.21663002651603,10,3000
0.6,37.15235244519091,10,3000
0.61,36.54302220867279,10,3000
0.62,38.063585636620914,10,3000
0.63,36.96747915424102,10,3000
0.64,37.67316577039085,10,3000
0.65,37.8420262475908,10,3000
0.66,37.52566777019156,10,3000
0.67,38.624447213003876,10,3000
0.68,38.66065844314211,10,3000
0.69,38.067213370575445,10,3000
0.7,37.76176650220395,10,3000
0.71,38.43925426576019,10,3000
0.72,38.326230884554185,10,3000
0.73,38.341863430993754,10,3000
0.74,37.48951014021444,10,3000
0.75,38.593107720161086,10,3000
0.76,38.27135235646832,10,3000
0.77,39.32583678945498,10,3000
0.78,38.72755468590818,10,3000
0.79,38.05364690937398,10,3000
0.8,38.16439796206274,10,3000
0.81,39.28416855579017,10,3000
0.82,38.59059157324477,10,3000
0.83,38.75678122376992,10,3000
0.84,38.45962955507985,10,3000
0.85,39.130243206581135,10,3000
0.86,37.641075539605524,10,3000
0.87,38.09861441052394,10,3000
0.88,38.59179977606604,10,3000
0.89,37.467972180042345,10,3000
0.9,37.90760597601083,10,3000
0.91,38.37888109707264,10,3000
0.92,38.277769198995756,10,3000
0.93,37.70558944617647,10,3000
0.94,37.79675045801259,10,3000
0.95,37.75568425649517,10,3000
0.96,37.765338826744596,10,3000
0.97,38.06491670012155,10,3000
0.98,37.14471906642346,10,3000
0.99,36.681213304600405,10,3000
1,37.404231382859884,10,3000
1.01,36.46721065946677,10,3000
1.02,36.82521579901908,10,3000
1.03,36.491702606573064,10,3000
1.04,36.67415879623109,10,3000
1.05,37.1733445840211,10,3000
1.06,36.80403642457059,10,3000
1.07,36.50400553666254,10,3000
1.08,36.753784671803395,10,3000
1.09,36.757732987309645,10,3000
1.1,35.83050450031574,10,3000
1.11,35.64168592028316,10,3000
1.12,36.00660632842928,10,3000
1.13,35.341200753212505,10,3000
1.14,36.24578652467429,10,3000
1.15,35.1965328851162,10,3000
1.16,35.22812121796052,10,3000
1.17,36.03362483698653,10,3000
1.18,35.33136507660287,10,3000
1.19,35.0169697902311,10,3000
1.2,35.57219763331998,10,3000
1.21,36.04645884919098,10,3000
1.22,35.84683340305497,10,3000
1.23,35.8519495837725,10,3000
1.24,35.25087836697578,10,3000
1.25,35.129935446989094,10,3000
1.26,35.68043147304728,10,3000
1.27,35.550136039440666,10,3000
1.28,34.828063665509646,10,3000
1.29,34.57559062292179,10,3000
1.3,35.34131190781646,10,3000
1.31,34.35963531920377,10,3000
1.32,34.417522483525104,10,3000
1.33,35.57958110107516,10,3000
1.34,34.87751674671901,10,3000
1.35,35.86559687050272,10,3000
1.36,34.32830719495243,10,3000
1.37,34.19035051131509,10,3000
1.38,34.66734961451594,10,3000
1.39,34.50780987113324,10,3000
1.4,34.852163905520186,10,3000
1.41,34.725768711379395,10,3000
1.42,34.70181127485623,10,3000
1.43,34.426526806030914,10,3000
1.44,35.10114213967013,10,3000
1.45,34.51088328833702,10,3000
1.46,33.85400192790697,10,3000
1.47,35.02620276006626,10,3000
1.48,34.525270866877904,10,3000
1.49,34.45255946641932,10,3000
1.5,34.58176505469784,10,3000
1.51,34.8239582894526,10,3000
1.52,33.92256879088031,10,3000
1.53,35.89482513528369,10,3000
1.54,33.70103873177768,10,3000
1.55,34.86245907499056,10,3000
1.56,35.021065090416975,10,3000
1.57,34.38772680928444,10,3000
1.58,34.91872675829926,10,3000
1.59,33.99683612343007,10,3000
1.6,34.8207754314717,10,3000
1.61,35.32048329093634,10,3000
1.62,33.88154267986095,10,3000
1.63,34.08857413350514,10,3000
1.64,34.60229950171882,10,3000
1.65,34.37583859716636,10,3000
1.66,34.89156386498317,10,3000
1.67,34.56067249463239,10,3000
1.68,35.297332469478604,10,3000
1.69,35.12408665940043,10,3000
1.7,34.09478272410256,10,3000
1.71,35.29438785066297,10,3000
1.72,34.64516404290914,10,3000
1.73,33.66461508653609,10,3000
1.74,34.17044991333876,10,3000
1.75,34.124867484862015,10,3000
1.76,35.05459932013904,10,3000
1.77,35.00738092078082,10,3000
1.78,34.74769530662111,10,3000
1.79,35.953848351573484,10,3000
1.8,35.19210218007314,10,3000
1.81,34.31706420102454,10,3000
1.82,34.61370474160434,10,3000
1.83,35.23173385594649,10,3000
1.84,34.17706968279077,10,3000
1.85,34.96610896236875,10,3000
1.86,35.32506344657668,10,3000
1.87,34.22546098711241,10,3000
1.88,35.34903667179501,10,3000
1.89,34.591396648641556,10,3000
1.9,34.888582058121465,10,3000
1.91,35.24700938808376,10,3000
1.92,33.46406393999593,10,3000
1.93,34.09767886372643,10,3000
1.94,34.50612053589469,10,3000
1.95,34.8729347010704,10,3000
1.96,35.67623829949741,10,3000
1.97,34.49515364680755,10,3000
1.98,34.838411733773754,10,3000
1.99,34.702089721983626,10,3000
2,34.86776106878975,10,3000
2.01,34.57268216560877,10,3000
2.02,35.23209869106256,10,3000
2.03,35.472180515065695,10,3000
2.04,34.791949169317625,10,3000
2.05,35.34609012685952,10,3000
2.06,34.34809324759505,10,3000
2.07,34.75803409428946,10,3000
2.08,35.00020569823245,10,3000
2.09,34.686903393938756,10,3000
2.1,34.97774944622616,10,3000
2.11,34.637241258735656,10,3000
2.12,35.12569299577116,10,3000
2.13,34.708066889665915,10,3000
2.14,34.78401542111353,10,3000
2.15,34.59917451523838,10,3000
2.16,35.75327615030845,10,3000
2.17,35.54909435773367,10,3000
2.18,34.7903217648313,10,3000
2.19,34.87590708190962,10,3000
2.2,34.84813142740342,10,3000
2.21,35.43000338471268,10,3000
2.22,34.37015127381508,10,3000
2.23,34.889596272752286,10,3000
2.24,35.198428619220266,10,3000
2.25,35.03876399679257,10,3000
2.26,34.80836472129005,10,3000
2.27,35.15316493689764,10,3000
2.28,34.58208051540817,10,3000
2.29,35.867994191407504,10,3000
2.3,35.43465080147503,10,3000
2.31,35.068794805415635,10,3000
2.32,35.406627493638894,10,3000
2.33,35.40906112976469,10,3000
2.34,35.71226880916504,10,3000
2.35,34.75289227750593,10,3000
2.36,34.03379201076907,10,3000
2.37,35.20119728098608,10,3000
2.38,35.16726205676483,10,3000
2.39,34.62293650294686,10,3000
2.4,35.24704302482957,10,3000
2.41,35.154694212634595,10,3000
2.42,34.93342641945949,10,3000
2.43,35.46957681999561,10,3000
2.44,34.45343985003345,10,3000
2.45,35.37767372739365,10,3000
2.46,34.94206343762774,10,3000
2.47,34.84583073714868,10,3000
2.48,34.780352510095554,10,3000
2.49,35.364829855394575,10,3000
2.5,35.08931522534825,10,3000
2.51,34.70355068516391,10,3000
2.52,35.094252858551556,10,3000
2.53,35.485403773004734,10,3000
2.54,35.45108101674496,10,3000
2.55,35.20479555503421,10,3000
2.56,34.941564540491804,10,3000
2.57,35.256761242348055,10,3000
2.58,35.66099323074826,10,3000
2.59,35.54978629728955,10,3000
2.6,35.23102953189227,10,3000
2.61,35.77699014259502,10,3000
2.62,34.22949707015233,10,3000
2.63,35.50560528107326,10,3000
2.64,35.096845377325636,10,3000
2.65,34.788981654327905,10,3000
2.66,34.7227449102269,10,3000
2.67,34.80328818478696,10,3000
2.68,35.55363851591021,10,3000
2.69,35.77958934162412,10,3000
2.7,34.862875584194086,10,3000
2.71,34.9792599254767,10,3000
2.72,35.70312276630883,10,3000
2.73,34.69156929981897,10,3000
2.74,35.1946695527825,10,3000
2.75,34.616598100270956,10,3000
2.76,35.482422012985495,10,3000
2.77,35.18178121921566,10,3000
2.78,34.449812004974916,10,3000
2.79,34.34183900015826,10,3000
2.8,35.15521695480711,10,3000
2.81,34.79621998642471,10,3000
2.82,35.68210534440807,10,3000
2.83,34.60167115592899,10,3000
2.84,35.06968878975247,10,3000
2.85,34.27874178822079,10,3000
2.86,34.665828284703316,10,3000
2.87,34.6796979538085,10,3000
2.88,34.75079783958219,10,3000
2.89,35.43688604363137,10,3000
2.9,35.275527416176516,10,3000
2.91,34.81951611245659,10,3000
2.92,35.17780870883869,10,3000
2.93,34.25878805586005,10,3000
2.94,35.17232995201246,10,3000
2.95,34.76409388386392,10,3000
2.96,35.77865522370808,10,3000
2.97,35.15528598026442,10,3000
2.98,34.98154977996599,10,3000
2.99,35.51885426738777,10,3000
3,34.93447365872463,10,3000
3.01,35.27001639657695,10,3000
3.02,34.72018204659477,10,3000
3.03,35.443551997669154,10,3000
3.04,34.27731076958718,10,3000
3.05,35.04170125546342,10,3000
3.06,34.56620821107084,10,3000
3.07,35.57534486543546,10,3000
3.08,35.445787586801586,10,3000
3.09,34.92318628259624,10,3000
3.1,34.62005974205298,10,3000
3.11,34.51802779460181,10,3000
3.12,35.187526839438085,10,3000
3.13,34.943842472277474,10,3000
3.14,35.714469944326154,10,3000
3.15,34.829661245662756,10,3000
3.16,35.12915697169726,10,3000
3.17,34.72221240462786,10,3000
3.18,34.712250258526026,10,3000
3.19,35.14594092411033,10,3000
3.2,34.39239914818714,10,3000
3.21,34.356111271511566,10,3000
3.22,34.24740478925548,10,3000
3.23,34.84354635369894,10,3000
3.24,35.28994625080558,10,3000
3.25,34.7444556619511,10,3000
3.26,34.717310170338436,10,3000
3.27,34.778800663351234,10,3000
3.28,35.17441848576432,10,3000
3.29,34.200930656390646,10,3000
3.3,34.609572141404286,10,3000
3.31,34.69050299946568,10,3000
3.32,34.58061495253872,10,3000
3.33,35.03561941653907,10,3000
3.34,35.30130417869238,10,3000
3.35,34.29460168016186,10,3000
3.36,35.848193421945616,10,3000
3.37,34.98174803976576,10,3000
3.38,35.82473435253286,10,3000
3.39,35.13026940885712,10,3000
3.4,35.12825205278979,10,3000
3.41,36.63278902843234,10,3000
3.42,34.56144796250241,10,3000
3.43,34.15316462889324,10,3000
3.44,35.14972521815554,10,3000
3.45,35.21718319045047,10,3000
3.46,35.40899062118767,10,3000
3.47,35.146228378720934,10,3000
3.48,34.783690744270096,10,3000
3.49,34.46653173976117,10,3000
3.5,35.05865907861755,10,3000
3.51,34.9239276763037,10,3000
3.52,34.909931801656406,10,3000
3.53,34.79869827696326,10,3000
3.54,34.80566987286824,10,3000
3.55,34.97195808897783,10,3000
3.56,34.711683255005724,10,3000
3.57,35.14759363082804,10,3000
3.58,35.48224623202782,10,3000
3.59,35.48648003442278,10,3000
3.6,35.02068367978623,10,3000
3.61,34.89504361694027,10,3000
3.62,35.657935102932036,10,3000
3.63,35.72146665534982,10,3000
3.64,34.96958124020168,10,3000
3.65,35.77406702417792,10,3000
3.66,35.23459005431833,10,3000
3.67,35.223860127761,10,3000
3.68,34.79292511953994,10,3000
3.69,34.77432988186299,10,3000
3.7,35.48905996857069,10,3000
3.71,34.90237190857364,10,3000
3.72,34.59135590309015,10,3000
3.73,35.37916313499493,10,3000
3.74,34.91968567676134,10,3000
3.75,35.135489971309646,10,3000
3.76,34.75306409535279,10,3000
3.77,34.75275176805755,10,3000
3.78,34.515089343764004,10,3000
3.79,34.87510927128617,10,3000
3.8,35.51820492591268,10,3000
3.81,34.69980591693348,10,3000
3.82,35.49105327084045,10,3000
3.83,35.08185678764425,10,3000
3.84,34.8169434314949,10,3000
3.85,34.89467933202172,10,3000
3.86,35.879178400921255,10,3000
3.87,35.009620432782455,10,3000
3.88,35.15428111277184,10,3000
3.89,35.65580361201434,10,3000
3.9,34.02789462273764,10,3000
3.91,35.33902287943378,10,3000
3.92,34.83435939994273,10,3000
3.93,33.82755891431598,10,3000
3.94,34.49623511078873,10,3000
3.95,35.957964506028034,10,3000
3.96,35.04214744257904,10,3000
3.97,34.89164325344359,10,3000
3.98,35.432478709151795,10,3000
3.99,35.81365937880884,10,3000
4,34.225752455223045,10,3000
4.01,35.14867438147051,10,3000
4.02,34.68478051496843,10,3000
4.03,35.56001932647222,10,3000
4.04,35.02792553367664,10,3000
4.05,35.89142082348911,10,3000
4.06,34.98059456583696,10,3000
4.07,33.83419349927197,10,3000
4.08,33.976629943775336,10,3000
4.09,34.41267068253036,10,3000
4.1,34.816898299910044,10,3000
4.11,35.24728695068637,10,3000
4.12,35.39753242337424,10,3000
4.13,35.192860206792204,10,3000
4.14,34.654958462920355,10,3000
4.15,33.9214311306828,10,3000
4.16,34.63721526718842,10,3000
4.17,34.81881892887258,10,3000
4.18,35.375617542527614,10,3000
4.19,35.91376089861998,10,3000
4.2,35.23029653962166,10,3000
4.21,35.850026943360696,10,3000
4.22,34.02516735839936,10,3000
4.23,35.51734930863323,10,3000
4.24,35.039799556718634,10,3000
4.25,35.96012350587929,10,3000
4.26,35.01772980014312,10,3000
4.27,35.0685098315916,10,3000
4.28,34.35591545774181,10,3000
4.29,34.90651687625153,10,3000
4.3,35.99887011151827,10,3000
4.31,34.45071317497507,10,3000
4.32,35.60250057510721,10,3000
4.33,35.7724402558618,10,3000
4.34,34.697997070339376,10,3000
4.35,35.164661261031334,10,3000
4.36,33.91185399616583,10,3000
4.37,34.83859261690822,10,3000
4.38,35.093781497337325,10,3000
4.39,34.836288458131,10,3000
4.4,34.41697997534613,10,3000
4.41,35.91244559619543,10,3000
4.42,36.14266220554875,10,3000
4.43,35.04826115804204,10,3000
4.44,34.05912555303753,10,3000
4.45,34.83795905195596,10,3000
4.46,34.628616001542994,10,3000
4.47,34.50890707217756,10,3000
4.48,34.55374795729221,10,3000
4.49,33.8476141514945,10,3000
4.5,34.54283287332643,10,3000
4.51,34.888224867135975,10,3000
4.52,34.764322288234375,10,3000
4.53,35.12025024768566,10,3000
4.54,34.84586081522332,10,3000
4.55,35.62487172686006,10,3000
4.56,35.396303693542315,10,3000
4.57,35.14922356229602,10,3000
4.58,34.557384417260025,10,3000
4.59,35.91576289235318,10,3000
4.6,34.571280758749346,10,3000
4.61,34.66843342413201,10,3000
4.62,34.58120828887195,10,3000
4.63,34.48291666511748,10,3000
