"time","motormodellAufgabe3_me_FMU.M","motormodellAufgabe3_me_FMU.alpha","motormodellAufgabe3_me_FMU.N"
0,0,80,6000
0.01,0,80,6000
0.02,0.8392206078637239,80,6000
0.03,2.1406919800887265,80,6000
0.04,2.8507174890354823,80,6000
0.05,4.7704983319880965,80,6000
0.06,7.24620074033131,80,6000
0.07,8.957536960055686,80,6000
0.08,10.973114716018946,80,6000
0.09,14.054214380284828,80,6000
0.1,17.94195964322091,80,6000
0.11,20.764735175605686,80,6000
0.12,24.959099814302203,80,6000
0.13,29.258865246157196,80,6000
0.14,33.644999402178925,80,6000
0.15,36.82411569477023,80,6000
0.16,42.25131328797742,80,6000
0.17,44.832350814975285,80,6000
0.18,50.362627852669156,80,6000
0.19,54.342183449260446,80,6000
0.2,59.72809692033713,80,6000
0.21,64.74321694901663,80,6000
0.22,69.29778442993276,80,6000
0.23,73.70781139143705,80,6000
0.24,80.20021957851307,80,6000
0.25,84.16998383600311,80,6000
0.26,88.13518466281457,80,6000
0.27,93.4518282287346,80,6000
0.28,97.75223063404385,80,6000
0.29,102.2781162997572,80,6000
0.3,107.4855561617,80,6000
0.31,112.68445232063729,80,6000
0.32,115.62288338311497,80,6000
0.33,120.38412665494059,80,6000
0.34,124.61046886409821,80,6000
0.35,129.50796714652864,80,6000
0.36,133.639951298559,80,6000
0.37,136.9895036865614,80,6000
0.38,141.0146974227609,80,6000
0.39,144.30826911109844,80,6000
0.4,148.96171022898247,80,6000
0.41,152.82858611893664,80,6000
0.42,155.3072210442559,80,6000
0.43,159.23661516628061,80,6000
0.44,161.74702550947126,80,6000
0.45,165.78343699656608,80,6000
0.46,168.41929005084552,80,6000
0.47,171.6878374121991,80,6000
0.48,173.0642485954262,80,6000
0.49,175.7036352204881,80,6000
0.5,178.31626898376248,80,6000
0.51,180.8748140386893,80,6000
0.52,182.81255413932672,80,6000
0.53,184.83069507777589,80,6000
0.54,187.60878355225674,80,6000
0.55,189.7153684198041,80,6000
0.56,191.47006307115058,80,6000
0.57,192.99137951849096,80,6000
0.58,194.664727554563,80,6000
0.59,196.3569685807109,80,6000
0.6,197.37201237068763,80,6000
0.61,197.75939337679452,80,6000
0.62,200.1963162229916,80,6000
0.63,199.93854666584838,80,6000
0.64,201.40693816526513,80,6000
0.65,202.26531356397433,80,6000
0.66,202.56776468183048,80,6000
0.67,204.21716692592187,80,6000
0.68,204.73835834701893,80,6000
0.69,204.56681285471214,80,6000
0.7,204.62275734207088,80,6000
0.71,205.60370398135333,80,6000
0.72,205.73877946628448,80,6000
0.73,205.9497138226619,80,6000
0.74,205.24241286183107,80,6000
0.75,206.44334000601435,80,6000
0.76,206.17369217596683,80,6000
0.77,207.23753210993465,80,6000
0.78,206.6082883278326,80,6000
