"time","motormodellAufgabe3_me_FMU.N","motormodellAufgabe3_me_FMU.M","motormodellAufgabe3_me_FMU.alpha"
8.11,1000,122.64077714448851,80
8.12,1000,123.30455928652407,80
8.13,1000,122.39670352387421,80
8.14,1000,122.89355217746898,80
8.15,1000,123.02546484600354,80
8.16,1000,122.7347195023427,80
8.17,1000,124.04158584975437,80
8.18,1000,123.35554220437493,80
8.19,1000,121.49661626226138,80
8.2,1000,122.49062592744589,80
8.21,1000,122.74342074407966,80
8.22,1000,122.5259193676534,80
8.23,1000,123.01945256883994,80
8.24,1000,122.25190888645734,80
8.25,1000,123.0618464186846,80
8.26,1000,123.17612804582498,80
8.27,1000,123.15906619314238,80
8.28,1000,122.91107092300905,80
8.29,1000,122.83454816816239,80
8.3,1000,122.91183767378375,80
8.31,1000,122.9713653146923,80
8.32,1000,123.35693226038066,80
8.33,1000,122.89339641438,80
8.34,1000,121.49565398685914,80
8.35,1000,122.23470056499033,80
8.36,1000,122.62173631226177,80
8.37,1000,123.37358455978782,80
8.38,1000,122.62591417088785,80
8.39,1000,123.24303981734077,80
8.4,1000,122.84707027701128,80
8.41,1000,122.57252762639162,80
8.42,1000,122.84572428022364,80
8.43,1000,123.29235665498653,80
8.44,1000,122.77217641832208,80
8.45,1000,123.72312209579019,80
8.46,1000,122.76043048637467,80
8.47,1000,122.6025016878221,80
8.48,1000,122.59929040542353,80
8.49,1000,122.57074504175768,80
8.5,1000,123.05139669909705,80
8.51,1000,122.4525590713355,80
8.52,1000,123.20710486879075,80
8.53,1000,123.24806078176745,80
8.54,1000,122.73303932116636,80
8.55,1000,123.07576774462841,80
8.56,1000,122.59069058642821,80
8.57,1000,122.71374841465312,80
8.58,1000,123.37356501029309,80
8.59,1000,123.44720259040943,80
8.6,1000,122.35623736414371,80
8.61,1000,122.6367709595529,80
8.62,1000,122.92883757191409,80
8.63,1000,122.57874481896916,80
8.64,1000,122.64175493291916,80
8.65,1000,122.27734543343121,80
8.66,1000,123.14330909481603,80
8.67,1000,121.7786164649597,80
8.68,1000,123.51480489621812,80
8.69,1000,123.14809981773254,80
8.7,1000,123.41510515781992,80
8.71,1000,123.27074085531778,80
8.72,1000,121.77579697866405,80
8.73,1000,122.37471945983889,80
8.74,1000,122.95323573596741,80
8.75,1000,123.2371596840292,80
8.76,1000,123.55186806989126,80
8.77,1000,122.64313837019263,80
8.78,1000,122.96727336997876,80
8.79,1000,123.2660966041641,80
8.8,1000,122.67389698551152,80
8.81,1000,122.48623142247855,80
8.82,1000,122.76087715319562,80
8.83,1000,122.69829456860005,80
8.84,1000,122.93606529526805,80
8.85,1000,122.66563434311387,80
8.86,1000,123.13020624174388,80
8.87,1000,123.21775794858422,80
8.88,1000,121.83498834578923,80
8.89,1000,122.52250643803694,80
8.9,1000,122.7034009263352,80
8.91,1000,123.10599140722515,80
8.92,1000,122.52127576408665,80
8.93,1000,122.1462235420659,80
8.94,1000,123.62744193318126,80
8.95,1000,123.76607168010767,80
8.96,1000,123.99782323737277,80
8.97,1000,122.23939290062671,80
8.98,1000,122.90427787779234,80
8.99,1000,122.84931173278598,80
9,1000,123.41097534197543,80
9.01,1000,123.81134109611769,80
9.02,1000,121.72913914927588,80
9.03,1000,123.55458313057726,80
9.04,1000,122.73135069875997,80
9.05,1000,122.96740929480572,80
9.06,1000,121.91367246734724,80
9.07,1000,123.05641803225393,80
9.08,1000,123.2647146342287,80
9.09,1000,123.27451594500724,80
9.1,1000,122.82791425776257,80
9.11,1000,123.05164187931238,80
9.12,1000,122.36255444424704,80
9.13,1000,123.96504064120576,80
9.14,1000,123.18603030485912,80
9.15,1000,122.38234914357885,80
9.16,1000,123.23228514589752,80
9.17,1000,122.64580538663276,80
9.18,1000,122.22817779281945,80
9.19,1000,123.1361526611146,80
9.2,1000,123.67053565231193,80
9.21,1000,124.08031765712067,80
9.22,1000,122.9859903341779,80
9.23,1000,122.41328352954865,80
9.24,1000,122.43612251769613,80
9.25,1000,123.40099333696648,80
9.26,1000,122.78316427923536,80
9.27,1000,123.59697733521202,80
9.28,1000,123.09228771731999,80
9.29,1000,122.71547923133274,80
9.3,1000,123.14591306228559,80
9.31,1000,122.6402903942801,80
9.32,1000,122.6862992226282,80
9.33,1000,123.2798090682385,80
9.34,1000,122.7824243529839,80
9.35,1000,122.15179688315732,80
9.36,1000,123.41866619287525,80
9.37,1000,122.80386467106406,80
9.38,1000,122.88284742160594,80
9.39,1000,122.9482899947022,80
9.4,1000,123.27537979340852,80
9.41,1000,123.6233408326389,80
9.42,1000,122.26435613868858,80
9.43,1000,122.86358914287094,80
9.44,1000,123.32699001935833,80
9.45,1000,123.82975113294268,80
9.46,1000,123.42807945256348,80
9.47,1000,123.39884362187651,80
9.48,1000,122.79352488951989,80
9.49,1000,123.00966066424341,80
9.5,1000,122.88303338366936,80
9.51,1000,122.58469874464569,80
9.52,1000,121.94707186908853,80
9.53,1000,123.10452686914277,80
9.54,1000,123.19199148056244,80
9.55,1000,123.21508533530267,80
9.56,1000,123.2730623987996,80
9.57,1000,123.14481618119237,80
9.58,1000,123.42287231629314,80
9.59,1000,123.04114669346895,80
9.6,1000,123.13874061053397,80
9.61,1000,122.87575874224962,80
9.62,1000,122.84779294215866,80
9.63,1000,122.58413281038332,80
9.64,1000,122.95641849401345,80
9.65,1000,122.4787327719234,80
9.66,1000,123.29204207955237,80
9.67,1000,122.28029473586152,80
9.68,1000,122.08423600389085,80
9.69,1000,123.07246079963633,80
9.7,1000,122.59102214857846,80
9.71,1000,122.40748585460099,80
9.72,1000,123.22326740855661,80
9.73,1000,122.86449318586341,80
9.74,1000,123.24298479221335,80
9.75,1000,123.10792920404847,80
9.76,1000,123.12648897536714,80
9.77,1000,122.54725111255601,80
9.78,1000,122.75258996374303,80
9.79,1000,124.52834894885532,80
9.8,1000,122.45620335023953,80
9.81,1000,123.38830780674648,80
9.82,1000,123.11930136204391,80
9.83,1000,123.54819511115237,80
9.84,1000,122.84808506017285,80
9.85,1000,122.53832322057279,80
9.86,1000,122.97849279816907,80
9.87,1000,122.77822506462957,80
9.88,1000,123.47648345409297,80
9.89,1000,122.67145937538392,80
9.9,1000,123.42453762614242,80
9.91,1000,122.86027542339613,80
9.92,1000,122.97827891598551,80
9.93,1000,123.38618390377262,80
9.94,1000,122.61584784029213,80
9.95,1000,123.29164561955443,80
9.96,1000,122.51255136356289,80
9.97,1000,123.26664876059257,80
9.98,1000,122.80363832408933,80
9.99,1000,123.14314790909074,80
10,1000,122.54874723591652,80
