"time","motormodellAufgabe3_me_FMU.N","motormodellAufgabe3_me_FMU.M","motormodellAufgabe3_me_FMU.alpha"
2.12,1000,119.17254781403071,60
2.13,1000,118.76118016463958,60
2.14,1000,118.8428945083528,60
2.15,1000,118.66334068281986,60
2.16,1000,119.82226497569356,60
2.17,1000,119.62245606603531,60
2.18,1000,118.86762151101115,60
2.19,1000,118.95672517942441,60
2.2,1000,118.93206352580782,60
2.21,1000,119.51666059870972,60
2.22,1000,118.45916026622348,60
2.23,1000,118.98059929383265,60
2.24,1000,119.29108350477156,60
2.25,1000,119.13274412739419,60
2.26,1000,118.90335894502547,60
2.27,1000,119.2488774578527,60
2.28,1000,118.67823075019076,60
2.29,1000,119.96431659588599,60
2.3,1000,119.5308946698811,60
2.31,1000,119.16472404390291,60
2.32,1000,119.50202037033192,60
2.33,1000,119.50371000327536,60
2.34,1000,119.80597983749303,60
2.35,1000,118.84548510917887,60
2.36,1000,118.12509946001595,60
2.37,1000,119.29106498867374,60
2.38,1000,119.25554813876415,60
2.39,1000,118.70951118753042,60
2.4,1000,119.3317882806378,60
2.41,1000,119.23750336868298,60
2.42,1000,119.01420377859458,60
2.43,1000,119.54823726714257,60
2.44,1000,118.52990845651415,60
2.45,1000,119.45188535253067,60
2.46,1000,119.01396232878591,60
2.47,1000,118.91537012930435,60
2.48,1000,118.84749422596137,60
2.49,1000,119.42954390706795,60
2.5,1000,119.15157941839149,60
2.51,1000,118.76335022596604,60
2.52,1000,119.1515799657648,60
2.53,1000,119.54025729379279,60
2.54,1000,119.5034660485257,60
2.55,1000,119.25472307334644,60
2.56,1000,118.98905103356451,60
2.57,1000,119.30182835290019,60
2.58,1000,119.70366740549866,60
2.59,1000,119.59009844461025,60
2.6,1000,119.26901468799244,60
2.61,1000,119.81268714657988,60
2.62,1000,118.26294824825884,60
2.63,1000,119.5368561403444,60
2.64,1000,119.12594430894652,60
2.65,1000,118.81597964680958,60
2.66,1000,118.7476952725889,60
2.67,1000,118.82624627985545,60
2.68,1000,119.57466150381711,60
2.69,1000,119.79873593356163,60
2.7,1000,118.88020580645079,60
2.71,1000,118.99483489375373,60
2.72,1000,119.71700447028952,60
2.73,1000,118.70382039794053,60
2.74,1000,119.20535317713667,60
2.75,1000,118.62577767153857,60
2.76,1000,119.490161065291,60
2.77,1000,119.18814323476872,60
2.78,1000,118.45486025834998,60
2.79,1000,118.34563641204721,60
2.8,1000,119.15782595506577,60
2.81,1000,118.79770238622123,60
2.82,1000,119.68252221726961,60
2.83,1000,118.60108272747219,60
2.84,1000,119.06815433587431,60
2.85,1000,118.27631954151775,60
2.86,1000,118.66257534887961,60
2.87,1000,118.67567022582816,60
2.88,1000,118.74604993931416,60
2.89,1000,119.43147125073288,60
2.9,1000,119.2694976139561,60
2.91,1000,118.8129217384558,60
2.92,1000,119.1706987118699,60
2.93,1000,118.25120985923631,60
2.94,1000,119.16432942270549,60
2.95,1000,118.75571530732627,60
2.96,1000,119.76994128409682,60
2.97,1000,119.1462777458053,60
2.98,1000,118.97228669319887,60
2.99,1000,119.50937414003725,60
3,1000,118.9248126709426,60
3.01,1000,119.26020910030763,60
3.02,1000,118.71026137281684,60
3.03,1000,119.43354926727376,60
3.04,1000,118.26725570765576,60
3.05,1000,119.03162200871411,60
3.06,1000,118.55613136824749,60
3.07,1000,119.56529548041931,60
3.08,1000,119.43578920423121,60
3.09,1000,118.9132609657874,60
3.1,1000,118.61022810301637,60
3.11,1000,118.50830902596304,60
3.12,1000,119.17793874807086,60
3.13,1000,118.93440151446704,60
3.14,1000,119.70519126228747,60
3.15,1000,118.82055870524401,60
3.16,1000,119.12024320110629,60
3.17,1000,118.713498834026,60
3.18,1000,118.70374716034036,60
3.19,1000,119.13765745392232,60
3.2,1000,118.38434338606237,60
3.21,1000,118.34829026364167,60
3.22,1000,118.23982458979043,60
3.23,1000,118.83621206665408,60
3.24,1000,119.2828620719343,60
3.25,1000,118.73762492048056,60
3.26,1000,118.71073537047172,60
3.27,1000,118.77248352544574,60
3.28,1000,119.168359987102,60
3.29,1000,118.19513107146163,60
3.3,1000,118.60403108163122,60
3.31,1000,118.68521945230145,60
3.32,1000,118.57558731987625,60
3.33,1000,119.03084555237608,60
3.34,1000,119.29678142600054,60
3.35,1000,118.29032690691328,60
3.36,1000,119.84416305625541,60
3.37,1000,118.97795810411351,60
3.38,1000,119.82118049703048,60
3.39,1000,119.12694694353475,60
3.4,1000,119.12515597887533,60
3.41,1000,120.6299140686046,60
3.42,1000,118.55878859010095,60
3.43,1000,118.15071509607205,60
3.44,1000,119.14747958297075,60
3.45,1000,119.21513534287593,60
3.46,1000,119.40713430805474,60
3.47,1000,119.14455722758203,60
3.48,1000,118.78219828618838,60
3.49,1000,118.46521143103107,60
3.5,1000,119.05750432142311,60
3.51,1000,118.92293183832463,60
3.52,1000,118.90908823463275,60
3.53,1000,118.79800033423265,60
3.54,1000,118.80511092589065,60
3.55,1000,118.97153154286485,60
3.56,1000,118.71138256307293,60
3.57,1000,119.14741230818991,60
3.58,1000,119.48217786825647,60
3.59,1000,119.48651830529282,60
3.6,1000,119.02082235812858,60
3.61,1000,118.89527658262942,60
3.62,1000,119.65825635203132,60
3.63,1000,119.72187030844042,60
3.64,1000,118.97006154992133,60
3.65,1000,119.77461838199616,60
3.66,1000,119.23520699657499,60
3.67,1000,119.2245373409952,60
3.68,1000,118.79365744513734,60
3.69,1000,118.77511232004876,60
3.7,1000,119.48988768177556,60
3.71,1000,118.90324022420097,60
3.72,1000,118.59226031571157,60
3.73,1000,119.38009930800175,60
3.74,1000,118.92064944349886,60
3.75,1000,119.13647733572152,60
3.76,1000,118.75407123216172,60
3.77,1000,118.75377502250869,60
3.78,1000,118.51612523095682,60
3.79,1000,118.87615447512,60
3.8,1000,119.5192562976711,60
3.81,1000,118.70086047353142,60
3.82,1000,119.4921081927582,60
3.83,1000,119.08290941657108,60
3.84,1000,118.81799126770551,60
3.85,1000,118.89572003150674,60
3.86,1000,119.88020977229372,60
3.87,1000,119.01064043398043,60
3.88,1000,119.15528784757733,60
3.89,1000,119.65679532640792,60
3.9,1000,118.02886970110701,60
3.91,1000,119.33997984065441,60
3.92,1000,118.83529689334765,60
3.93,1000,117.82847571557109,60
3.94,1000,118.49713011768948,60
3.95,1000,119.95883673423256,60
3.96,1000,119.04299602129186,60
3.97,1000,118.89246742106374,60
3.98,1000,119.43327780889803,60
3.99,1000,119.81443285433456,60
4,1000,118.2264998462321,60
4.01,1000,119.14939531934513,60
4.02,1000,118.68547471841916,60
4.03,1000,119.56068659721979,60
4.04,1000,119.02856575217464,60
4.05,1000,119.89203394469564,60
4.06,1000,118.98118061504326,60
4.07,1000,117.83475256799503,60
4.08,1000,117.97716218572114,60
4.09,1000,118.41317630963376,60
4.1,1000,118.81737757845671,60
4.11,1000,119.24774019752196,60
4.12,1000,119.39796000220504,60
4.13,1000,119.19326252458144,60
4.14,1000,118.65533596638345,60
4.15,1000,117.92178430288483,60
4.16,1000,118.63754462424639,60
4.17,1000,118.81912501676464,60
4.18,1000,119.37590093401109,60
4.19,1000,119.91402219025963,60
4.2,1000,119.23053634892943,60
4.21,1000,119.8502459060474,60
4.22,1000,118.025366125739,60
4.23,1000,119.5175285449399,60
4.24,1000,119.03995993693599,60
4.25,1000,119.9602657132819,60
4.26,1000,119.01785452414933,60
4.27,1000,119.06861776568668,60
4.28,1000,118.35600729751043,60
4.29,1000,118.90659331751804,60
4.3,1000,119.99893184859339,60
4.31,1000,118.45076089900712,60
4.32,1000,119.60253497253606,60
4.33,1000,119.7724620069736,60
4.34,1000,118.69800684791954,60
4.35,1000,119.16465972911398,60
4.36,1000,117.91184180887689,60
4.37,1000,118.83857041739977,60
4.38,1000,119.09374991681076,60
4.39,1000,118.83624811494617,60
4.4,1000,118.41693147421384,60
4.41,1000,119.9123895274505,60
4.42,1000,120.14259914450078,60
4.43,1000,119.04819166440106,60
4.44,1000,118.05905017041174,60
4.45,1000,118.83787830741855,60
4.46,1000,118.62853040526524,60
4.47,1000,118.50881711712522,60
4.48,1000,118.55365411898246,60
4.49,1000,117.8475168878104,60
4.5,1000,118.54273262438623,60
4.51,1000,118.88812205521425,60
4.52,1000,118.76421731773236,60
4.53,1000,119.12014350514798,60
4.54,1000,118.84575266939834,60
4.55,1000,119.62476252880137,60
4.56,1000,119.39619377674852,60
4.57,1000,119.14911324288637,60
4.58,1000,118.55727399418345,60
4.59,1000,119.91565264762824,60
4.6,1000,118.57117095773262,60
4.61,1000,118.66832431581282,60
4.62,1000,118.581100106191,60
4.63,1000,118.48280962530725,60
4.64,1000,118.98884663977226,60
4.65,1000,118.95590797756613,60
4.66,1000,119.19069958366987,60
4.67,1000,119.38595231502579,60
4.68,1000,118.95362860227992,60
4.69,1000,118.51875502217864,60
4.7,1000,119.29297522921622,60
4.71,1000,118.11517251130263,60
4.72,1000,119.4479162044292,60
4.73,1000,118.88766716487726,60
4.74,1000,119.1245444689371,60
4.75,1000,119.18901175035792,60
4.76,1000,119.31964425803265,60
4.77,1000,118.81226504802304,60
4.78,1000,117.86266781347432,60
4.79,1000,118.71546214473776,60
4.8,1000,118.02314672330957,60
4.81,1000,119.00475167330747,60
4.82,1000,119.27187667926138,60
4.83,1000,118.51672500960018,60
4.84,1000,119.21168323831107,60
4.85,1000,118.96402716863913,60
4.86,1000,120.13065304529385,60
4.87,1000,119.85279583989599,60
4.88,1000,118.7018014295909,60
4.89,1000,118.08745630436175,60
4.9,1000,119.40227660230295,60
4.91,1000,118.68188133013848,60
4.92,1000,119.66399033078311,60
4.93,1000,118.48966767662168,60
4.94,1000,120.10391164087984,60
4.95,1000,118.0468344358364,60
4.96,1000,119.68737602423604,60
4.97,1000,119.097960351337,60
4.98,1000,119.74505545794149,60
4.99,1000,118.81509507258804,60
5,1000,119.93742810622562,60
5.01,1000,119.03240303946647,80
5.02,1000,119.32049462092874,80
5.03,1000,119.87758661000402,80
5.04,1000,117.98407053521827,80
5.05,1000,119.14482601300102,80
5.06,1000,118.69894382445753,80
5.07,1000,119.30654629804593,80
5.08,1000,120.2328752676915,80
5.09,1000,119.49755636027818,80
5.1,1000,120.26377302921699,80
5.11,1000,119.43577439548937,80
5.12,1000,119.6934555246448,80
5.13,1000,119.41802491263792,80
5.14,1000,119.65336361683883,80
5.15,1000,120.19869895772467,80
5.16,1000,120.46018983285792,80
5.17,1000,120.97379109380495,80
5.18,1000,119.0711020619748,80
5.19,1000,120.73395077223124,80
5.2,1000,119.58147094881568,80
5.21,1000,120.64142649180944,80
5.22,1000,120.69655078730578,80
5.23,1000,120.06254885888787,80
5.24,1000,121.50095061774651,80
5.25,1000,120.38912049637136,80
5.26,1000,121.18457973831447,80
5.27,1000,121.07199920538766,80
5.28,1000,120.9981721883225,80
5.29,1000,120.76771732932743,80
5.3,1000,120.87885236978,80
5.31,1000,121.94627503419325,80
5.32,1000,120.57933183414629,80
5.33,1000,122.41682030558387,80
5.34,1000,121.72804595840316,80
5.35,1000,121.78572182698245,80
5.36,1000,121.91513297288142,80
5.37,1000,122.20867478744123,80
5.38,1000,121.85966732665395,80
5.39,1000,121.97491675758275,80
5.4,1000,122.09295406332946,80
5.41,1000,122.48808867045194,80
5.42,1000,121.94335434079227,80
5.43,1000,120.8465287804196,80
5.44,1000,123.15633644094561,80
5.45,1000,121.89849539132835,80
5.46,1000,122.42165134937348,80
5.47,1000,123.49955749458563,80
5.48,1000,123.21107073836986,80
5.49,1000,122.82427972062538,80
5.5,1000,122.98486543799132,80
5.51,1000,122.61265529524623,80
5.52,1000,122.67697072652238,80
5.53,1000,123.8879764986738,80
5.54,1000,123.23244026370057,80
5.55,1000,122.47046988044379,80
5.56,1000,122.3609851165794,80
5.57,1000,122.24771459035892,80
5.58,1000,122.88521597961346,80
5.59,1000,123.56629826755459,80
5.6,1000,123.13703851478255,80
5.61,1000,124.70537709564587,80
5.62,1000,123.93743795894567,80
5.63,1000,123.26404072487368,80
5.64,1000,123.67062463557352,80
5.65,1000,124.66036135086321,80
5.66,1000,123.7135861704566,80
5.67,1000,123.39898337490158,80
5.68,1000,123.11976427877188,80
5.69,1000,123.6520939988121,80
5.7,1000,123.71743819316357,80
5.71,1000,122.60052368061818,80
5.72,1000,122.53072277009882,80
5.73,1000,123.79095310730963,80
5.74,1000,122.41579854619563,80
5.75,1000,123.39590815843076,80
5.76,1000,124.15566744818048,80
5.77,1000,123.27538734280364,80
5.78,1000,122.45583540075972,80
5.79,1000,122.76413795618112,80
5.8,1000,122.93292771747211,80
5.81,1000,123.2644147116419,80
5.82,1000,123.04468654510755,80
5.83,1000,123.52171389619863,80
5.84,1000,124.29973517577808,80
5.85,1000,123.98741303393875,80
5.86,1000,123.49710391217,80
5.87,1000,123.74541905411868,80
5.88,1000,123.27049652666145,80
5.89,1000,123.49496372597594,80
5.9,1000,123.09299536143004,80
5.91,1000,123.26766585809156,80
5.92,1000,122.80112759113737,80
5.93,1000,122.64076348447429,80
5.94,1000,123.08564442115598,80
5.95,1000,122.38891497743468,80
5.96,1000,123.3359501715388,80
5.97,1000,123.10527316933096,80
5.98,1000,124.36558103538408,80
5.99,1000,123.23999492023611,80
6,1000,123.23744395364437,80
6.01,1000,124.12702814570353,80
6.02,1000,122.71923055870664,80
6.03,1000,122.83433080903937,80
6.04,1000,122.57852025300029,80
6.05,1000,123.0590191084803,80
6.06,1000,123.6435798760285,80
6.07,1000,122.99376041873032,80
6.08,1000,123.80825654475458,80
6.09,1000,123.52690554431727,80
6.1,1000,123.17118539232219,80
6.11,1000,123.41453791920031,80
6.12,1000,123.89078932245363,80
6.13,1000,122.41519113079488,80
6.14,1000,123.1893190210965,80
6.15,1000,122.87163921438776,80
6.16,1000,122.44535250935789,80
6.17,1000,124.08559351024161,80
6.18,1000,124.24883373802895,80
6.19,1000,122.81430591684273,80
6.2,1000,123.45499079833353,80
6.21,1000,122.53580103117417,80
6.22,1000,122.71235418304467,80
6.23,1000,122.23604229671714,80
6.24,1000,122.53758467571025,80
6.25,1000,122.57116615770444,80
6.26,1000,122.87243185723028,80
6.27,1000,123.63838184950704,80
6.28,1000,124.20382352434508,80
6.29,1000,123.04756533677556,80
6.3,1000,123.56433228864613,80
6.31,1000,122.04039808865878,80
6.32,1000,122.0332248498079,80
6.33,1000,122.77800321155522,80
6.34,1000,122.701524726779,80
